,bat,runs,balls,dismissals,avg,rpo
792,Matt Prior,393,373,13.0,30.23,6.32
527,Ishan Kishan,392,366,8.0,49.0,6.43
704,Kushal Bhurtel,392,352,9.0,43.56,6.68
1089,Runako Morton,388,447,12.0,32.33,5.21
1049,Regis Chakabva,387,415,12.0,32.25,5.6
78,Anamul Haque,384,382,12.0,32.0,6.03
427,George Munsey,382,269,8.0,47.75,8.52
1309,Tim Paine,378,439,11.0,34.36,5.17
1387,Wesley Barresi,377,407,8.0,47.12,5.56
88,Andrew Flintoff,375,401,15.0,25.0,5.61
80,Andile Phehlukwayo,370,353,13.0,28.46,6.29
367,Dwayne Smith,367,331,19.0,19.32,6.65
787,Mashrafe Mortaza,364,332,30.0,12.13,6.58
147,Ayaan Khan,364,364,7.0,52.0,6.0
1156,Shadab Khan,363,296,10.0,36.3,7.36
396,Fawad Alam,362,376,9.0,40.22,5.78
773,Marcus Trescothick,359,331,10.0,35.9,6.51
128,Ashish Bagai,353,435,5.0,70.6,4.87
158,Bas de Leede,350,342,8.0,43.75,6.14
507,Iftikhar Ahmed,343,271,8.0,42.88,7.59
687,Kieran Powell,341,369,12.0,28.42,5.54
139,Assad Vala,340,372,10.0,34.0,5.48
910,Nathan McCullum,339,326,17.0,19.94,6.24
1090,Russel Arnold,339,346,11.0,30.82,5.88
942,Noor Ali Zadran,334,400,11.0,30.36,5.01
30,Adil Rashid,333,305,20.0,16.65,6.55
1119,Sam Billings,333,306,7.0,47.57,6.53
1102,Ryan ten Doeschate,333,305,4.0,83.25,6.55
7,Aaron Jones,331,340,9.0,36.78,5.84
1025,Rameez Shahzad,330,333,5.0,66.0,5.95
1037,Ravichandran Ashwin,327,291,22.0,14.86,6.74
900,Nasir Hossain,325,351,16.0,20.31,5.56
768,Manish Pandey,323,339,9.0,35.89,5.72
602,Johan Botha,323,301,14.0,23.07,6.44
223,Chamu Chibhabha,320,410,10.0,32.0,4.68
593,Jesse Ryder,319,326,10.0,31.9,5.87
1032,Rashid Khan,319,219,17.0,18.76,8.74
184,Boeta Dippenaar,319,316,6.0,53.17,6.06
1306,Tim Bresnan,317,306,20.0,15.85,6.22
980,Peter Handscomb,313,267,6.0,52.17,7.03
269,Craig Kieswetter,313,298,14.0,22.36,6.3
1012,Rachin Ravindra,310,279,10.0,31.0,6.67
229,Charles Coventry,308,231,8.0,38.5,8.0
121,Asad Shafiq,308,391,10.0,30.8,4.73
917,Nawroz Mangal,304,319,11.0,27.64,5.72
431,Gerhard Erasmus,302,296,8.0,37.75,6.12
27,Adam Voges,302,321,8.0,37.75,5.64
1219,Sohaib Maqsood,301,277,7.0,43.0,6.52
1165,Shahriar Nafees,301,326,10.0,30.1,5.54
1232,Stephen Fleming,300,250,8.0,37.5,7.2
63,Alex Obanda,300,296,8.0,37.5,6.08
199,Brett Lee,300,263,13.0,23.08,6.84
1186,Sharjeel Khan,299,239,8.0,37.38,7.51
235,Chirag Suri,298,328,10.0,29.8,5.45
732,Liam Livingstone,298,284,10.0,29.8,6.3
330,Devon Smith,298,338,12.0,24.83,5.29
990,Phillip Hughes,297,340,8.0,37.12,5.24
1384,Wayne Parnell,297,329,15.0,19.8,5.42
583,Jeevan Mendis,295,265,11.0,26.82,6.68
138,Asif Khan,295,190,6.0,49.17,9.32
208,Cameron Green,295,327,5.0,59.0,5.41
122,Asela Gunaratne,295,321,8.0,36.88,5.51
1261,Suryakumar Yadav,294,280,12.0,24.5,6.3
315,David Willey,293,262,10.0,29.3,6.71
1124,Samiullah Shinwari,292,308,7.0,41.71,5.69
822,Michael van Lingen,290,239,8.0,36.25,7.28
228,Charles Amini,288,348,7.0,41.14,4.97
1003,Preston Mommsen,288,298,7.0,41.14,5.8
743,Lorcan Tucker,288,235,13.0,22.15,7.35
474,Harry Brook,287,272,9.0,31.89,6.33
1120,Sam Curran,286,284,10.0,28.6,6.04
976,Peter Borren,285,204,5.0,57.0,8.38
807,Michael Bracewell,285,198,3.0,95.0,8.64
1239,Steven Taylor,285,278,9.0,31.67,6.15
546,James Franklin,285,284,11.0,25.91,6.02
577,Javed Ahmadi,283,305,10.0,28.3,5.57
1073,Rohan Mustafa,281,345,14.0,20.07,4.89
776,Mark Chapman,280,213,5.0,56.0,7.89
410,Gajanand Singh,279,273,7.0,39.86,6.13
1312,Tim Southee,278,225,22.0,12.64,7.41
273,Craig Williams,278,315,3.0,92.67,5.3
213,Carlos Brathwaite,278,279,16.0,17.38,5.98
1083,Rovman Powell,277,235,17.0,16.29,7.07
658,Kashyap Prajapati,272,277,8.0,34.0,5.89
174,Bhuvneshwar Kumar,272,333,18.0,15.11,4.9
150,Azmatullah Omarzai,271,252,5.0,54.2,6.45
875,Mosaddek Hossain,271,245,11.0,24.64,6.64
1253,Sunil Ambris,271,248,8.0,33.88,6.56
513,Imran Farhat,270,290,11.0,24.55,5.59
437,Glenn Phillips,267,257,9.0,29.67,6.23
1094,Ryan Burl,267,222,12.0,22.25,7.22
1298,Thilan Samaraweera,267,321,8.0,33.38,4.99
712,Kyle Mayers,267,226,6.0,44.5,7.09
725,Lasith Malinga,264,257,26.0,10.15,6.16
1131,Sanju Samson,262,240,6.0,43.67,6.55
262,Colin de Grandhomme,256,166,7.0,36.57,9.25
469,Harbhajan Singh,255,241,18.0,14.17,6.35
1067,Rob Nicol,254,283,3.0,84.67,5.39
714,Kyle Mills,253,211,15.0,16.87,7.19
1082,Roston Chase,253,289,9.0,28.11,5.25
1424,Zunaed Siddique,251,317,6.0,41.83,4.75
1335,Tony Ura,251,263,10.0,25.1,5.73
276,Curtis Campher,251,245,12.0,20.92,6.15
1153,Sese Bau,251,354,6.0,41.83,4.25
983,Peter Moor,250,203,6.0,41.67,7.39
453,Gulbadin Naib,249,273,16.0,15.56,5.47
17,Abdullah Shafique,249,226,6.0,41.5,6.61
734,Liam Plunkett,247,187,15.0,16.47,7.93
1416,Zeeshan Maqsood,247,257,6.0,41.17,5.77
558,Jamie How,245,346,9.0,27.22,4.25
40,Agha Salman,244,194,6.0,40.67,7.55
402,Finn Allen,244,227,7.0,34.86,6.45
1263,Sushant Modani,241,317,8.0,30.12,4.56
61,Alex Cusack,241,316,4.0,60.25,4.58
530,JJ Smit,239,225,6.0,39.83,6.37
849,Mohammad Mithun,238,245,7.0,34.0,5.83
716,Kyle Verreynne,236,238,4.0,59.0,5.95
1168,Shaiman Anwar,235,233,9.0,26.11,6.05
748,Luke Wright,234,217,10.0,23.4,6.47
576,Jatinder Singh,234,235,5.0,46.8,5.97
515,Imran Nazir,228,164,5.0,45.6,8.34
222,Chaminda Vaas,228,292,13.0,17.54,4.68
1377,Wahab Riaz,227,258,23.0,9.87,5.28
244,Chris Morris,227,162,9.0,25.22,8.41
173,Bhim Sharki,225,244,7.0,32.14,5.53
107,Anshy Rath,221,238,2.0,110.5,5.57
37,Aftab Ahmed,221,232,11.0,20.09,5.72
1388,Wessly Madhevere,219,236,9.0,24.33,5.57
111,Aqib Ilyas,219,259,4.0,54.75,5.07
705,Kushal Malla,217,218,6.0,36.17,5.97
963,Pargat Singh,216,236,5.0,43.2,5.49
1097,Ryan McLaren,212,201,7.0,30.29,6.33
1234,Steve Tikolo,210,233,5.0,42.0,5.41
854,Mohammad Nawaz,209,220,12.0,17.42,5.7
892,Naeem Islam,209,238,7.0,29.86,5.27
133,Ashton Agar,208,223,8.0,26.0,5.6
1076,Romario Shepherd,207,164,9.0,23.0,7.57
874,Morris Ouma,207,268,7.0,29.57,4.63
1123,Samit Patel,206,155,4.0,51.5,7.97
263,Collins Obuya,206,215,3.0,68.67,5.75
131,Ashley Nurse,205,168,10.0,20.5,7.32
64,Alexei Kervezee,204,213,7.0,29.14,5.75
727,Lega Siaka,201,211,10.0,20.1,5.72
76,Amjad Ali,199,194,3.0,66.33,6.15
1241,Stuart Broad,198,194,15.0,13.2,6.12
146,Axar Patel,198,157,11.0,18.0,7.57
429,Geraint Jones,197,187,7.0,28.14,6.32
98,Andy McBrine,196,231,14.0,14.0,5.09
221,Chamika Karunaratne,195,196,9.0,21.67,5.97
881,Muhammad Usman,192,208,6.0,32.0,5.54
135,Ashwell Prince,191,248,7.0,27.29,4.62
1150,Seekkuge Prasanna,191,157,16.0,11.94,7.3
1221,Sohail Tanvir,188,177,10.0,18.8,6.37
873,Morne van Wyk,188,221,8.0,23.5,5.1
1115,Saiteja Mukkamalla,188,156,3.0,62.67,7.23
414,Gary Ballance,183,229,6.0,30.5,4.79
1204,Shoaib Khan,181,174,7.0,25.86,6.24
270,Craig McMillan,181,185,9.0,20.11,5.87
555,James Vince,180,186,7.0,25.71,5.81
557,Jamie Dalrymple,179,185,10.0,17.9,5.81
1224,Sompal Kami,177,171,2.0,88.5,6.21
70,Alviro Petersen,177,209,8.0,22.12,5.08
965,Parthiv Patel,176,176,7.0,25.14,6.0
966,Pat Cummins,175,258,20.0,8.75,4.07
1184,Shardul Thakur,174,153,11.0,15.82,6.82
774,Mark Adair,174,136,11.0,15.82,7.68
835,Mitchell Starc,174,182,18.0,9.67,5.74
1213,Simi Singh,171,129,7.0,24.43,7.95
35,Afif Hossain,170,127,5.0,34.0,8.03
159,Basil Hameed,168,142,5.0,33.6,7.1
124,Ashan Priyanjan,168,156,7.0,24.0,6.46
405,Forster Mutizwa,167,162,7.0,23.86,6.19
908,Nathan Hauritz,166,143,5.0,33.2,6.97
781,Mark Watt,165,128,9.0,18.33,7.73
1005,Prosper Utseya,165,155,5.0,33.0,6.39
280,Dale Steyn,165,179,17.0,9.71,5.53
609,John Hastings,165,159,5.0,33.0,6.23
1326,Tom Cooper,164,192,5.0,32.8,5.12
851,Mohammad Nadeem,164,191,2.0,82.0,5.15
914,Naved-ul-Hasan,163,155,10.0,16.3,6.31
1291,Teja Nidamanuru,162,147,7.0,23.14,6.61
322,Deepak Chahar,161,148,3.0,53.67,6.53
1109,Sachithra Senanayake,160,114,10.0,16.0,8.42
510,Ikram Alikhil,160,197,4.0,40.0,4.87
382,Eric Szwarczynski,159,201,4.0,39.75,4.75
567,Jaskaran Malhotra,159,125,3.0,53.0,7.63
3,Aarif Sheikh,156,214,8.0,19.5,4.37
623,Josh Inglis,155,161,6.0,25.83,5.78
560,Jan Frylinck,155,139,5.0,31.0,6.69
205,Callum Ferguson,153,149,6.0,25.5,6.16
314,David Wiese,153,134,5.0,30.6,6.85
610,John Mooney,152,169,6.0,25.33,5.4
442,Graeme Swann,152,142,11.0,13.82,6.42
857,Mohammad Saifuddin,152,111,3.0,50.67,8.22
789,Matt Henry,151,147,12.0,12.58,6.16
663,Keacy Carty,151,227,9.0,16.78,3.99
237,Chris Cairns,151,133,3.0,50.33,6.81
272,Craig Wallace,150,147,6.0,25.0,6.12
821,Michael Yardy,150,168,2.0,75.0,5.36
586,Jehan Mubarak,150,192,6.0,25.0,4.69
839,Mohammad Amir,146,141,12.0,12.17,6.21
564,Janith Liyanage,146,162,4.0,36.5,5.41
162,Ben Duckett,145,159,3.0,48.33,5.47
464,Hamish Marshall,145,183,8.0,18.12,4.75
136,Asif Ali,144,117,6.0,24.0,7.38
1408,Zaheer Khan,143,179,13.0,11.0,4.79
740,Logan van Beek,143,132,7.0,20.43,6.5
598,Joe Denly,142,150,5.0,28.4,5.68
684,Khurram Khan,141,157,2.0,70.5,5.39
1101,Ryan Watson,141,142,6.0,23.5,5.96
192,Brandon McMullen,141,161,7.0,20.14,5.25
157,Bas Zuiderent,141,198,2.0,70.5,4.27
283,Dan Christian,140,130,6.0,23.33,6.46
420,Gavin Hamilton,140,166,1.0,140.0,5.06
790,Matt Machan,138,117,4.0,34.5,7.08
887,Musa Ahmad,138,168,5.0,27.6,4.93
