,bat,runs,balls,dismissals,avg,rpo
797,Kumar Sangakkara,5227,7873,126.0,41.48,3.98
1016,Mushfiqur Rahim,4561,6400,135.0,33.79,4.28
1562,Virat Kohli,4537,6085,94.0,48.27,4.47
856,MS Dhoni,4415,6314,95.0,46.47,4.2
1341,Shakib Al Hasan,4387,5990,136.0,32.26,4.39
1456,Tamim Iqbal,4330,6986,149.0,29.06,3.72
233,Brendan Taylor,4143,5789,124.0,33.41,4.29
860,Mahela Jayawardene,3996,5663,125.0,31.97,4.23
1238,Ross Taylor,3816,5390,95.0,40.17,4.25
927,Michael Clarke,3802,5593,87.0,43.7,4.08
1231,Rohit Sharma,3800,5701,107.0,35.51,4.0
0,AB de Villiers,3655,4626,79.0,46.27,4.74
862,Mahmudullah,3520,5167,105.0,33.52,4.09
928,Michael Hussey,3519,4519,62.0,56.76,4.67
950,Misbah-ul-Haq,3507,5236,82.0,42.77,4.02
1490,Tillakaratne Dilshan,3471,5064,113.0,30.72,4.11
735,Kane Williamson,3360,4733,68.0,49.41,4.26
963,Mohammad Hafeez,3254,5133,121.0,26.89,3.8
522,Hamilton Masakadza,3167,5130,146.0,21.69,3.7
119,Angelo Mathews,3103,4368,81.0,38.31,4.26
1379,Shoaib Malik,2995,4261,96.0,31.2,4.22
1316,Sean Williams,2960,3872,98.0,30.2,4.59
546,Hashim Amla,2945,4413,76.0,38.75,4.0
434,Elton Chigumbura,2936,4113,120.0,24.47,4.28
436,Eoin Morgan,2926,4049,91.0,32.15,4.34
1376,Shivnarine Chanderpaul,2835,4380,55.0,51.55,3.88
1339,Shai Hope,2800,4257,62.0,45.16,3.95
279,Chris Gayle,2798,4252,115.0,24.33,3.95
1540,Upul Tharanga,2783,4839,112.0,24.85,3.45
1119,Paul Stirling,2768,4071,94.0,29.45,4.08
568,Ian Bell,2734,4101,80.0,34.17,4.0
893,Marlon Samuels,2648,4085,90.0,29.42,3.89
174,Babar Azam,2608,3467,48.0,54.33,4.51
1602,Yuvraj Singh,2563,3438,68.0,37.69,4.47
971,Mohammad Nabi,2562,3171,96.0,26.69,4.85
1373,Shikhar Dhawan,2450,3675,80.0,30.62,4.0
1588,William Porterfield,2427,4184,98.0,24.77,3.48
764,Kevin O'Brien,2422,3155,86.0,28.16,4.61
1439,Suresh Raina,2417,3194,68.0,35.54,4.54
1600,Younis Khan,2412,3647,93.0,25.94,3.97
1386,Sikandar Raza,2401,3348,77.0,31.18,4.3
1171,Rahmat Shah,2395,3684,74.0,32.36,3.9
1184,Ramnaresh Sarwan,2356,3464,54.0,43.63,4.08
765,Kevin Pietersen,2317,3031,64.0,36.2,4.59
440,Faf du Plessis,2316,3217,53.0,43.7,4.32
1533,Umar Akmal,2274,2861,64.0,35.53,4.77
895,Martin Guptill,2273,3793,84.0,27.06,3.6
663,Jean-Paul Duminy,2262,3272,63.0,35.9,4.15
1114,Paul Collingwood,2260,3288,67.0,33.73,4.12
1210,Richie Berrington,2250,3329,73.0,30.82,4.06
504,Graeme Smith,2232,3441,70.0,31.89,3.89
391,Dinesh Chandimal,2175,3205,75.0,29.0,4.07
1212,Ricky Ponting,2119,3145,70.0,30.27,4.04
1332,Shahid Afridi,2117,1835,102.0,20.75,6.92
115,Andy Balbirnie,2089,3119,66.0,31.65,4.02
682,Joe Root,2071,2992,60.0,34.52,4.15
1164,Quinton de Kock,2040,2988,62.0,32.9,4.1
417,Dwayne Bravo,2038,2630,76.0,26.82,4.65
1353,Shane Watson,2014,2989,67.0,30.06,4.04
312,Craig Ervine,2005,3048,73.0,27.47,3.95
986,Mohammad Yousuf,2003,2991,52.0,38.52,4.02
611,Jacques Kallis,1974,3041,61.0,32.36,3.89
145,Asghar Afghan,1950,3133,79.0,24.68,3.73
341,Darren Bravo,1942,3198,68.0,28.56,3.64
960,Mohammad Ashraful,1914,2890,85.0,22.52,3.97
1471,Tatenda Taibu,1885,2801,60.0,31.42,4.04
234,Brendon McCullum,1849,2694,84.0,22.01,4.12
357,David Warner,1811,2700,56.0,32.34,4.02
422,Ed Joyce,1793,2731,51.0,35.16,3.94
264,Chamu Chibhabha,1788,2974,89.0,20.09,3.61
246,Calum MacLeod,1757,2635,51.0,34.45,4.0
784,Kieron Pollard,1749,2090,67.0,26.1,5.02
354,David Miller,1728,2113,51.0,33.88,4.91
1069,Niall O'Brien,1716,2616,64.0,26.81,3.94
1413,Steven Smith,1702,2470,42.0,40.52,4.13
66,Alastair Cook,1689,2700,59.0,28.63,3.75
1515,Tom Latham,1688,2443,59.0,28.61,4.15
819,Lahiru Thirimanne,1687,2699,60.0,28.12,3.75
50,Ahmed Shehzad,1657,2642,52.0,31.87,3.76
805,Kyle Coetzer,1648,2486,57.0,28.91,3.98
1313,Scott Styris,1647,2335,45.0,36.6,4.23
558,Herschelle Gibbs,1644,2342,42.0,39.14,4.21
1568,Vusi Sibanda,1605,2787,79.0,20.32,3.46
162,Assad Vala,1602,2453,53.0,30.23,3.92
1189,Ravi Bopara,1590,2412,54.0,29.44,3.96
1026,Najibullah Zadran,1575,1974,58.0,27.16,4.79
1272,Sachin Tendulkar,1567,2520,58.0,27.02,3.73
477,Gautam Gambhir,1557,2331,59.0,26.39,4.01
703,Jos Buttler,1538,1710,46.0,33.43,5.4
484,George Bailey,1529,2150,39.0,39.21,4.27
475,Gary Wilson,1502,2309,59.0,25.46,3.9
547,Hashmatullah Shahidi,1500,2416,46.0,32.61,3.73
109,Andrew Strauss,1498,2405,69.0,21.71,3.74
1292,Samiullah Shinwari,1491,2416,52.0,28.67,3.7
700,Jonathan Trott,1482,2183,27.0,54.89,4.07
982,Mohammad Shahzad,1450,2033,55.0,26.36,4.28
5,Aaron Finch,1425,2333,60.0,23.75,3.66
732,Kamran Akmal,1417,2182,76.0,18.64,3.9
829,Lendl Simmons,1409,2143,45.0,31.31,3.94
57,Ajinkya Rahane,1402,2211,49.0,28.61,3.8
223,Brad Haddin,1398,2020,44.0,31.77,4.15
582,Imam-ul-Haq,1387,2057,33.0,42.03,4.05
903,Matthew Cross,1384,2143,54.0,25.63,3.87
110,Andrew Symonds,1379,1702,29.0,47.55,4.86
1194,Ravindra Jadeja,1352,1884,42.0,32.19,4.31
1174,Rahul Dravid,1338,2145,46.0,29.09,3.74
493,Gerhard Erasmus,1327,1775,31.0,42.81,4.49
369,Denesh Ramdin,1323,1870,59.0,22.42,4.24
1336,Shahriar Nafees,1313,2092,48.0,27.35,3.77
1362,Shaun Marsh,1273,1822,36.0,35.36,4.19
587,Imrul Kayes,1255,2112,53.0,23.68,3.57
447,Fakhar Zaman,1242,1870,44.0,28.23,3.99
1420,Stuart Matsikenyeri,1230,1743,51.0,24.12,4.23
305,Collins Obuya,1227,1982,46.0,26.67,3.71
798,Kusal Mendis,1218,1859,50.0,24.36,3.93
650,Jason Holder,1209,1504,46.0,26.28,4.82
885,Mark Boucher,1162,1622,43.0,27.02,4.3
339,Daren Sammy,1152,1315,49.0,23.51,5.26
488,George Munsey,1149,1719,35.0,32.83,4.01
1512,Tom Cooper,1144,1598,26.0,44.0,4.3
838,Litton Das,1136,1676,51.0,22.27,4.07
1293,Sanath Jayasuriya,1130,1607,47.0,24.04,4.22
251,Cameron White,1123,1657,33.0,34.03,4.07
8,Aaron Jones,1120,1708,31.0,36.13,3.93
897,Mashrafe Mortaza,1120,1446,82.0,13.66,4.65
1305,Sarfaraz Ahmed,1119,1452,38.0,29.45,4.62
1230,Rohit Paudel,1100,1608,39.0,28.21,4.1
1563,Virender Sehwag,1088,1562,45.0,24.18,4.18
353,David Hussey,1088,1396,36.0,30.22,4.68
507,Grant Elliott,1082,1576,29.0,37.31,4.12
1158,Prosper Utseya,1081,1963,66.0,16.38,3.3
44,Aftab Ahmed,1053,1401,47.0,22.4,4.51
1000,Morris Ouma,1052,1635,46.0,22.87,3.86
170,Azhar Ali,1052,1620,26.0,40.46,3.9
1229,Rohan Mustafa,1050,1857,51.0,20.59,3.39
1285,Salman Butt,1039,1787,42.0,24.74,3.49
533,Haris Sohail,1037,1393,23.0,45.09,4.47
1106,Owais Shah,1023,1422,32.0,31.97,4.32
1567,Vriitya Aravind,1022,1673,37.0,27.62,3.67
913,Matthew Wade,1022,1509,38.0,26.89,4.06
496,Glenn Maxwell,1019,1160,43.0,23.7,5.27
1247,Runako Morton,1012,1697,29.0,34.9,3.58
143,Asad Shafiq,1005,1566,43.0,23.37,3.85
1487,Thisara Perera,1000,1094,56.0,17.86,5.48
515,Gulbadin Naib,978,1367,46.0,21.26,4.29
724,KL Rahul,975,1360,21.0,46.43,4.3
332,Daniel Vettori,969,1244,52.0,18.63,4.67
1617,Zeeshan Maqsood,965,1522,31.0,31.13,3.8
609,Jacob Oram,965,1267,36.0,26.81,4.57
