,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
29,Basil Hameed,4,6,1,4.0,6.0,50.0,4.0,0.53
30,Scott Styris,6,9,0,inf,inf,11.11,4.0,0.35
31,Varun Aaron,4,6,1,4.0,6.0,16.67,4.0,1.57
32,Dave Mohammed,36,50,0,inf,inf,0.0,4.32,14.25
33,Shehan Jayasuriya,9,12,0,inf,inf,8.33,4.5,3.85
34,Max O'Dowd,6,8,0,inf,inf,0.0,4.5,10.67
35,Yasir Shah,27,36,0,inf,inf,11.11,4.5,2.78
36,Nosthush Kenjige,9,12,0,inf,inf,8.33,4.5,0.64
37,Tharindu Kaushal,9,12,0,inf,inf,16.67,4.5,33.33
38,Kedar Jadhav,25,33,0,inf,inf,0.0,4.55,2.78
39,Sushan Bhari,32,42,1,32.0,42.0,0.0,4.57,9.95
40,Saeed Ajmal,27,35,1,27.0,35.0,17.14,4.63,0.58
41,Jamie Dalrymple,63,81,2,31.5,40.5,14.81,4.67,9.61
42,Shahid Ahmadzai,7,9,0,inf,inf,0.0,4.67,5.36
43,Mohammad Ashraful,14,18,0,inf,inf,5.56,4.67,4.86
44,Lutho Sipamla,19,24,1,19.0,24.0,12.5,4.75,13.11
45,Shivnarine Chanderpaul,19,24,0,inf,inf,16.67,4.75,92.31
46,Kraigg Brathwaite,12,15,0,inf,inf,6.67,4.8,9.87
47,Brad Wheal,12,15,0,inf,inf,0.0,4.8,2.05
48,Gareth Delany,8,10,1,8.0,10.0,30.0,4.8,2.56
49,Akif Raja,4,5,0,inf,inf,0.0,4.8,2.17
50,Najeeb Amar,33,41,2,16.5,20.5,4.88,4.83,34.17
51,Michael Yardy,21,26,1,21.0,26.0,0.0,4.85,1.95
52,Vikram Solanki,17,21,1,17.0,21.0,14.29,4.86,18.92
53,Chris Cairns,40,49,1,40.0,49.0,4.08,4.9,7.42
54,Ray Price,111,134,3,37.0,44.67,7.46,4.97,3.42
55,Rohan Mustafa,54,65,1,54.0,65.0,3.08,4.98,1.74
56,Piet Rinke,5,6,2,2.5,3.0,33.33,5.0,3.03
57,Faf du Plessis,10,12,1,10.0,12.0,33.33,5.0,6.25
58,Glen Chapple,5,6,0,inf,inf,16.67,5.0,25.0
59,George Codrington,15,18,1,15.0,18.0,0.0,5.0,4.41
60,John Kariko,5,6,0,inf,inf,0.0,5.0,4.76
61,Kyle McCallan,5,6,0,inf,inf,0.0,5.0,0.45
62,Sean Williams,17,20,0,inf,inf,10.0,5.1,0.43
63,Sagar Dhakal,18,21,0,inf,inf,0.0,5.14,9.17
64,Noor Ahmad,21,24,0,inf,inf,12.5,5.25,4.68
65,Steven Outerbridge,21,24,0,inf,inf,0.0,5.25,66.67
66,Paul Collingwood,83,94,2,41.5,47.0,14.89,5.3,2.28
67,Iftikhar Ahmed,101,114,1,101.0,114.0,14.91,5.32,14.32
68,Tendai Chisoro,8,9,0,inf,inf,22.22,5.33,1.0
69,Nelson Odhiambo,8,9,0,inf,inf,0.0,5.33,2.69
70,James Ngoche,17,19,0,inf,inf,0.0,5.37,2.18
71,Tanaka Chivanga,10,11,1,10.0,11.0,45.45,5.45,3.63
72,Junaid Siddiqui,10,11,0,inf,inf,0.0,5.45,3.01
73,Ian Butler,21,23,1,21.0,23.0,34.78,5.48,4.42
74,Majid Haq,75,82,4,18.75,20.5,7.32,5.49,3.77
75,Ziaur Rahman,52,56,0,inf,inf,16.07,5.57,14.32
76,Daniel Vettori,184,198,4,46.0,49.5,19.19,5.58,2.59
77,Ryan McLaren,27,29,2,13.5,14.5,31.03,5.59,1.2
78,Adhitya Shetty,28,30,1,28.0,30.0,23.33,5.6,50.0
79,Gavin Tonge,15,16,0,inf,inf,6.25,5.62,5.3
80,Ashok Dinda,16,17,1,16.0,17.0,23.53,5.65,2.85
81,Jan Stander,18,19,2,9.0,9.5,0.0,5.68,12.67
82,Imran Tahir,183,192,6,30.5,32.0,16.67,5.72,3.46
83,Binura Fernando,23,24,1,23.0,24.0,33.33,5.75,15.69
84,Fakhar Zaman,23,24,0,inf,inf,0.0,5.75,17.78
85,Charles Amini,49,51,3,16.33,17.0,0.0,5.76,3.0
86,Sohag Gazi,55,57,1,55.0,57.0,17.54,5.79,6.2
87,Johan Botha,58,60,0,inf,inf,18.33,5.8,1.56
88,Keshav Maharaj,169,174,7,24.14,24.86,19.54,5.83,7.84
89,Raymon Reifer,35,36,3,11.67,12.0,27.78,5.83,22.22
90,Harbhajan Singh,389,398,9,43.22,44.22,17.34,5.86,5.28
91,Glenn Phillips,134,137,4,33.5,34.25,8.76,5.87,29.59
92,Rawl Lewis,18,18,0,inf,inf,33.33,6.0,4.08
93,Nasum Ahmed,18,18,0,inf,inf,5.56,6.0,2.48
94,Zaman Khan,4,4,0,inf,inf,0.0,6.0,11.11
95,Nadeem Ahmed,103,103,2,51.5,51.5,1.94,6.0,8.09
96,Ryan Klein,8,8,0,inf,inf,12.5,6.0,1.3
97,Ian Blackwell,8,8,0,inf,inf,12.5,6.0,1.37
98,Nasir Hossain,3,3,0,inf,inf,66.67,6.0,0.24
99,Sufyan Mehmood,6,6,0,inf,inf,0.0,6.0,75.0
100,Angelo Perera,5,5,0,inf,inf,20.0,6.0,13.89
101,Kevin Sandher,2,2,0,inf,inf,0.0,6.0,0.65
102,Darron Reekers,10,10,0,inf,inf,10.0,6.0,5.05
103,Ravi Bopara,9,9,0,inf,inf,0.0,6.0,0.48
104,Clayton Floyd,15,15,0,inf,inf,20.0,6.0,3.96
105,Virender Sehwag,47,46,1,47.0,46.0,10.87,6.13,2.23
106,Washington Sundar,89,87,0,inf,inf,11.49,6.14,13.66
107,Dwaine Pretorius,90,88,5,18.0,17.6,20.45,6.14,7.69
108,Ahsan Malik,63,61,3,21.0,20.33,0.0,6.2,12.55
109,Peter Borren,126,122,4,31.5,30.5,3.28,6.2,7.74
110,Matthew Potts,26,25,2,13.0,12.5,32.0,6.24,29.76
111,Iftikhar Anjum,155,149,3,51.67,49.67,19.46,6.24,5.18
112,Khurram Khan,25,24,0,inf,inf,4.17,6.25,6.67
113,Tanveer Ahmed,25,24,0,inf,inf,0.0,6.25,10.48
114,Wanindu Hasaranga,160,153,2,80.0,76.5,12.42,6.27,5.93
115,Gudakesh Motie,111,106,2,55.5,53.0,15.09,6.28,16.04
116,JJ Smit,41,39,0,inf,inf,0.0,6.31,3.53
117,Graham Hume,39,37,0,inf,inf,16.22,6.32,5.74
118,Abdur Rauf,38,36,2,19.0,18.0,13.89,6.33,16.36
119,Peter Siddle,58,55,2,29.0,27.5,38.18,6.33,6.09
120,Rovman Powell,19,18,0,inf,inf,0.0,6.33,6.43
121,Malachi Jones,37,35,2,18.5,17.5,0.0,6.34,13.11
122,Graeme Smith,52,49,1,52.0,49.0,6.12,6.37,6.09
123,Berend Westdijk,17,16,0,inf,inf,12.5,6.38,10.26
124,Sachith Pathirana,65,61,3,21.67,20.33,27.87,6.39,7.95
125,Yusuf Pathan,32,30,4,8.0,7.5,36.67,6.4,2.01
126,Mark Watt,109,102,6,18.17,17.0,0.98,6.41,3.02
127,Ravichandran Ashwin,187,175,5,37.4,35.0,22.86,6.41,2.77
128,Roelof van der Merwe,74,69,1,74.0,69.0,10.14,6.43,5.16
129,Mohammad Nabi,239,223,5,47.8,44.6,9.42,6.43,2.97
130,Tabraiz Shamsi,205,191,8,25.62,23.88,14.14,6.44,7.69
131,Anil Kumble,57,53,2,28.5,26.5,11.32,6.45,7.77
132,Mahuru Dai,28,26,0,inf,inf,0.0,6.46,2.79
133,Rayad Emrit,27,25,0,inf,inf,4.0,6.48,28.74
134,Stefan Kelly,66,61,4,16.5,15.25,0.0,6.49,22.85
135,Gordon Drummond,80,74,0,inf,inf,0.0,6.49,5.93
136,Con de Lange,26,24,2,13.0,12.0,0.0,6.5,4.63
137,Kaleem Sana,13,12,0,inf,inf,25.0,6.5,2.96
138,Pikky Ya France,39,36,0,inf,inf,0.0,6.5,4.16
139,Aayan Afzal Khan,64,59,1,64.0,59.0,1.69,6.51,3.9
140,Harvir Baidwan,38,35,3,12.67,11.67,0.0,6.51,2.52
141,Parth Desai,25,23,2,12.5,11.5,0.0,6.52,3.79
142,Hamilton Masakadza,73,67,4,18.25,16.75,17.91,6.54,3.8
143,Lalit Rajbanshi,73,67,1,73.0,67.0,1.49,6.54,5.42
144,Chris Morris,140,128,6,23.33,21.33,23.44,6.56,6.74
145,Brendan Nash,23,21,0,inf,inf,0.0,6.57,7.12
146,Fred Klaassen,81,74,2,40.5,37.0,28.38,6.57,7.02
147,Kaushalya Weeraratne,11,10,0,inf,inf,0.0,6.6,13.89
148,Aryan Lakra,44,40,0,inf,inf,10.0,6.6,12.58
149,Delyone Borden,22,20,2,11.0,10.0,5.0,6.6,10.75
150,Aftab Ahmed,33,30,1,33.0,30.0,3.33,6.6,6.16
151,Zeeshan Maqsood,22,20,0,inf,inf,0.0,6.6,0.97
152,Mohammad Tauqir,54,49,2,27.0,24.5,10.2,6.61,13.17
153,Saurabh Netravalkar,43,39,2,21.5,19.5,10.26,6.62,1.58
154,Bernard Scholtz,63,57,2,31.5,28.5,0.0,6.63,2.41
155,Suraj Randiv,73,66,1,73.0,66.0,21.21,6.64,4.59
156,Nosaina Pokana,51,46,1,51.0,46.0,0.0,6.65,4.76
157,Kushal Malla,71,64,1,71.0,64.0,1.56,6.66,6.02
158,Mahmudullah,142,128,1,142.0,128.0,8.59,6.66,2.94
159,Ross Lyons,39,35,1,39.0,35.0,0.0,6.69,5.31
160,Gerhard Erasmus,38,34,2,19.0,17.0,0.0,6.71,3.2
161,John Hastings,288,257,5,57.6,51.4,17.9,6.72,17.28
162,Michael Swart,64,57,0,inf,inf,0.0,6.74,16.1
163,Bjorn Fortuin,18,16,1,18.0,16.0,12.5,6.75,8.6
164,Rijan Dhakal,9,8,0,inf,inf,0.0,6.75,9.52
165,T Natarajan,18,16,0,inf,inf,31.25,6.75,13.22
166,Kyle Klein,27,24,0,inf,inf,0.0,6.75,43.64
167,Piyush Chawla,18,16,0,inf,inf,18.75,6.75,1.22
168,Nathan Bracken,206,183,10,20.6,18.3,18.58,6.75,3.73
169,Shahnawaz Dahani,9,8,1,9.0,8.0,25.0,6.75,8.33
170,Sikandar Raza,90,80,1,90.0,80.0,12.5,6.75,1.73
171,Manzarul Islam,26,23,0,inf,inf,4.35,6.78,5.44
172,Blessing Muzarabani,77,68,1,77.0,68.0,27.94,6.79,2.93
173,George Scrimshaw,43,38,2,21.5,19.0,15.79,6.79,65.52
174,Andy McBrine,118,104,3,39.33,34.67,12.5,6.81,2.53
175,Brandon McMullen,42,37,0,inf,inf,5.41,6.81,4.98
176,Liam Dawson,41,36,0,inf,inf,16.67,6.83,13.64
177,Deepak Hooda,8,7,1,8.0,7.0,28.57,6.86,4.67
178,Yuvraj Singh,56,49,2,28.0,24.5,24.49,6.86,1.31
179,Rashid Khan,127,111,3,42.33,37.0,11.71,6.86,2.09
180,Manjula Guruge,30,26,1,30.0,26.0,23.08,6.92,7.41
181,Qais Ahmad,45,39,2,22.5,19.5,25.64,6.92,30.0
182,Alex Cusack,22,19,1,22.0,19.0,5.26,6.95,0.99
183,Brydon Carse,22,19,0,inf,inf,5.26,6.95,3.22
184,Chris Gayle,65,56,2,32.5,28.0,10.71,6.96,1.45
185,Michael Clarke,49,42,1,49.0,42.0,2.38,7.0,2.11
186,Lionel Cann,7,6,0,inf,inf,16.67,7.0,8.45
187,Danushka Gunathilaka,42,36,1,42.0,36.0,19.44,7.0,8.96
188,Aaron Finch,7,6,0,inf,inf,0.0,7.0,2.11
189,Mark Gillespie,98,84,0,inf,inf,20.24,7.0,5.37
190,Hiral Patel,21,18,0,inf,inf,0.0,7.0,4.4
191,Aizaz Khan,75,64,2,37.5,32.0,0.0,7.03,8.68
192,Sachithra Senanayake,61,52,3,20.33,17.33,15.38,7.04,2.2
193,Prosper Utseya,283,241,5,56.6,48.2,9.54,7.05,3.31
194,Glenn McGrath,80,68,0,inf,inf,25.0,7.06,2.4
195,Moeen Ali,328,278,13,25.23,21.38,13.31,7.08,4.64
196,Alok Kapali,111,94,2,55.5,47.0,10.64,7.09,16.23
197,Sourav Ganguly,13,11,1,13.0,11.0,27.27,7.09,2.19
198,Kaleemullah,77,65,2,38.5,32.5,0.0,7.11,3.55
199,Mitchell Marsh,261,220,4,65.25,55.0,15.45,7.12,10.03
200,Johann Louw,19,16,0,inf,inf,0.0,7.12,10.19
201,Fabian Allen,70,59,3,23.33,19.67,27.12,7.12,8.86
202,Angelo Mathews,276,232,6,46.0,38.67,26.72,7.14,4.39
203,Trent Johnston,119,100,4,29.75,25.0,8.0,7.14,3.72
204,Chris Martin,44,37,3,14.67,12.33,18.92,7.14,5.87
205,Brad Hogg,81,68,0,inf,inf,16.18,7.15,2.16
206,Suresh Raina,81,68,1,81.0,68.0,10.29,7.15,3.2
207,Olly Stone,56,47,3,18.67,15.67,40.43,7.15,14.78
208,Nathan Lyon,118,99,2,59.0,49.5,13.13,7.15,6.09
209,Prasidh Krishna,106,89,5,21.2,17.8,37.08,7.15,11.17
210,Curtis Campher,92,77,2,46.0,38.5,16.88,7.17,7.5
211,Mahedi Hasan,43,36,4,10.75,9.0,25.0,7.17,6.81
212,Mohammad Rafique,129,108,0,inf,inf,12.04,7.17,4.52
213,Tim Pringle,67,56,1,67.0,56.0,25.0,7.18,28.14
214,Sabir Ali,30,25,1,30.0,25.0,8.0,7.2,23.81
215,Aiden Markram,126,105,1,126.0,105.0,14.29,7.2,11.89
216,Mohammad Shahzad,12,10,0,inf,inf,0.0,7.2,4.39
217,Sunil Narine,144,120,4,36.0,30.0,23.33,7.2,3.38
218,Mitchell Santner,431,359,6,71.83,59.83,11.42,7.2,7.36
219,Luke Wood,24,20,0,inf,inf,15.0,7.2,33.33
220,Abdur Razzak,426,355,8,53.25,44.38,15.49,7.2,5.05
221,Mohammad Saleem,6,5,0,inf,inf,20.0,7.2,7.94
222,Shahid Afridi,173,144,3,57.67,48.0,18.75,7.21,1.38
223,Andrew Hall,155,129,4,38.75,32.25,14.73,7.21,6.08
224,Ben Stokes,232,193,5,46.4,38.6,19.17,7.21,6.17
225,Rangana Herath,95,79,1,95.0,79.0,11.39,7.22,2.63
226,Blair Tickner,83,69,3,27.67,23.0,24.64,7.22,11.06
227,Maheesh Theekshana,100,83,2,50.0,41.5,19.28,7.23,3.94
228,Stuart Clark,87,72,0,inf,inf,12.5,7.25,3.89
229,Naeem Islam,23,19,0,inf,inf,15.79,7.26,1.09
230,Doug Bracewell,46,38,0,inf,inf,13.16,7.26,3.74
231,Trent Boult,557,460,17,32.76,27.06,27.83,7.27,7.43
232,Imad Wasim,154,127,6,25.67,21.17,18.11,7.28,5.29
233,Andrew Flintoff,186,153,2,93.0,76.5,18.95,7.29,5.33
234,Tom Curran,90,74,6,15.0,12.33,39.19,7.3,5.65
235,Richie Berrington,101,83,4,25.25,20.75,7.23,7.3,5.37
236,Kieron Pollard,123,101,4,30.75,25.25,21.78,7.31,4.43
237,Andile Phehlukwayo,123,101,7,17.57,14.43,18.81,7.31,3.37
238,Mohammad Nawaz,122,100,2,61.0,50.0,9.0,7.32,5.64
239,Mluleki Nkala,22,18,0,inf,inf,22.22,7.33,41.86
240,Tafadzwa Kamungozi,88,72,2,44.0,36.0,8.33,7.33,11.3
241,Muthiah Muralidaran,170,139,3,56.67,46.33,13.67,7.34,2.34
242,Dilon Heyliger,38,31,1,38.0,31.0,0.0,7.35,7.51
243,Akeal Hosein,108,88,5,21.6,17.6,13.64,7.36,4.2
244,Amir Hamza,16,13,0,inf,inf,7.69,7.38,0.83
245,Malinda Pushpakumara,48,39,0,inf,inf,7.69,7.38,34.21
246,Ashton Agar,101,82,1,101.0,82.0,15.85,7.39,7.47
247,Ravindra Jadeja,293,238,4,73.25,59.5,18.07,7.39,2.44
248,Munaf Patel,195,158,5,39.0,31.6,32.91,7.41,4.94
249,Yuzvendra Chahal,129,104,4,32.25,26.0,21.15,7.44,2.77
250,Younis Khan,31,25,0,inf,inf,4.0,7.44,12.69
251,Morne Morkel,443,357,8,55.38,44.62,26.05,7.45,6.15
252,Mitchell McClenaghan,256,206,8,32.0,25.75,16.5,7.46,8.75
253,Ian Bradshaw,61,49,1,61.0,49.0,26.53,7.47,2.04
254,Heath Streak,66,53,0,inf,inf,0.0,7.47,19.2
255,Pedro Collins,15,12,2,7.5,6.0,16.67,7.5,3.4
256,Nawroz Mangal,15,12,1,15.0,12.0,8.33,7.5,4.17
257,Kamal Airee,10,8,0,inf,inf,0.0,7.5,7.02
258,Sachin Tendulkar,15,12,0,inf,inf,8.33,7.5,1.05
259,Calum MacLeod,35,28,0,inf,inf,0.0,7.5,2.94
260,Sandeep Lamichhane,30,24,0,inf,inf,4.17,7.5,0.87
261,Dan Cullen,15,12,0,inf,inf,8.33,7.5,5.61
262,Aarif Sheikh,5,4,0,inf,inf,0.0,7.5,0.6
263,Mohammad Wasim,75,60,4,18.75,15.0,36.67,7.5,6.23
264,Jeetan Patel,10,8,1,10.0,8.0,0.0,7.5,0.4
265,Beuran Hendricks,45,36,2,22.5,18.0,25.0,7.5,9.28
266,Matthew Short,15,12,0,inf,inf,0.0,7.5,16.67
267,Barry McCarthy,199,159,7,28.43,22.71,11.95,7.51,7.16
268,Ajit Agarkar,168,134,1,168.0,134.0,20.9,7.52,4.68
269,Chaminda Vaas,253,201,4,63.25,50.25,19.9,7.55,5.58
270,Amila Aponso,78,62,2,39.0,31.0,14.52,7.55,14.66
271,Nuwan Zoysa,78,62,2,39.0,31.0,12.9,7.55,31.47
272,Gavin Ewing,53,42,0,inf,inf,0.0,7.57,15.56
273,Farhad Reza,29,23,0,inf,inf,4.35,7.57,2.08
274,Lionel Baker,48,38,1,48.0,38.0,2.63,7.58,9.03
275,Upul Chandana,24,19,0,inf,inf,0.0,7.58,3.09
276,John Mooney,110,87,1,110.0,87.0,4.6,7.59,5.1
277,Harry Gurney,38,30,0,inf,inf,23.33,7.6,6.55
278,Zahoor Khan,75,59,0,inf,inf,6.78,7.63,2.01
279,Sulieman Benn,14,11,1,14.0,11.0,27.27,7.64,0.46
280,Gary Brent,14,11,0,inf,inf,18.18,7.64,1.12
281,Nathan Ellis,70,55,1,70.0,55.0,23.64,7.64,14.21
282,Robin Peterson,50,39,0,inf,inf,10.26,7.69,1.56
283,Shadab Khan,118,92,3,39.33,30.67,15.22,7.7,2.71
284,Victor Nyauchi,27,21,0,inf,inf,42.86,7.71,5.21
285,Kamran Shazad,9,7,0,inf,inf,0.0,7.71,3.23
286,Rumman Raees,36,28,2,18.0,14.0,32.14,7.71,6.02
287,Chandrapaul Hemraj,9,7,0,inf,inf,0.0,7.71,100.0
288,Zaheer Khan,665,516,4,166.25,129.0,30.23,7.73,8.98
289,Dhananjaya de Silva,174,135,6,29.0,22.5,18.52,7.73,5.99
290,Chanaka Welegedara,98,76,5,19.6,15.2,26.32,7.74,16.34
291,Pieter Seelaar,155,120,5,31.0,24.0,9.17,7.75,5.05
292,Romario Shepherd,142,110,1,142.0,110.0,16.36,7.75,9.39
293,Xavier Doherty,66,51,0,inf,inf,5.88,7.76,1.83
294,Rob Taylor,75,58,4,18.75,14.5,12.07,7.76,8.33
295,Dunith Wellalage,96,74,4,24.0,18.5,14.86,7.78,8.31
296,Collins Obuya,13,10,0,inf,inf,40.0,7.8,2.26
297,Chad Soper,95,73,2,47.5,36.5,0.0,7.81,2.8
298,Carlos Brathwaite,206,158,6,34.33,26.33,22.78,7.82,8.66
299,Graeme Swann,103,79,4,25.75,19.75,11.39,7.82,2.09
300,Shane Bond,150,115,2,75.0,57.5,22.61,7.83,3.89
301,Thomas Odoyo,120,92,5,24.0,18.4,9.78,7.83,4.6
302,Ian Bell,17,13,0,inf,inf,7.69,7.85,18.57
303,Umar Gul,351,268,4,87.75,67.0,16.79,7.86,4.91
304,Hamid Hassan,143,109,2,71.5,54.5,20.18,7.87,5.66
305,Adam Zampa,348,265,9,38.67,29.44,12.08,7.88,5.1
306,Jacob Oram,100,76,1,100.0,76.0,15.79,7.89,2.06
307,Chris Tremain,100,76,2,50.0,38.0,28.95,7.89,31.67
308,Sharafuddin Ashraf,46,35,0,inf,inf,8.57,7.89,3.97
309,Kyle Mayers,75,57,1,75.0,57.0,17.54,7.89,8.31
310,Julius Sumerauer,29,22,2,14.5,11.0,0.0,7.91,7.43
311,Stuart Thompson,58,44,1,58.0,44.0,4.55,7.91,7.8
312,Amit Mishra,62,47,0,inf,inf,19.15,7.91,2.55
313,Milinda Siriwardana,91,69,2,45.5,34.5,5.8,7.91,11.48
314,Simon Jones,41,31,0,inf,inf,29.03,7.94,12.3
315,Ali Naseer,49,37,1,49.0,37.0,27.03,7.95,8.71
316,Shane Watson,258,194,5,51.6,38.8,24.23,7.98,3.54
317,Ajantha Mendis,165,124,3,55.0,41.33,18.55,7.98,3.02
318,Joe Mennie,28,21,0,inf,inf,14.29,8.0,17.5
319,Zahid Mahmood,32,24,1,32.0,24.0,25.0,8.0,11.11
320,Marlon Samuels,120,90,0,inf,inf,8.89,8.0,2.5
321,Thinus Fourie,12,9,0,inf,inf,11.11,8.0,6.29
322,Saqib Mahmood,8,6,0,inf,inf,50.0,8.0,1.43
323,Stuart Matsikenyeri,4,3,0,inf,inf,33.33,8.0,0.71
324,Dominic Drakes,4,3,0,inf,inf,0.0,8.0,2.63
325,Tama Canning,8,6,0,inf,inf,16.67,8.0,10.0
326,Rehan Ahmed,8,6,0,inf,inf,16.67,8.0,2.13
327,Jeff Wilson,60,45,1,60.0,45.0,15.56,8.0,50.0
328,Stuart Binny,36,27,2,18.0,13.5,22.22,8.0,5.49
329,Barney Rogers,24,18,0,inf,inf,0.0,8.0,6.34
330,Daryl Mitchell,52,39,0,inf,inf,12.82,8.0,13.4
331,Kenny Carroll,8,6,0,inf,inf,0.0,8.0,100.0
332,Bradley Kruger,24,18,0,inf,inf,0.0,8.0,9.47
333,Dan Christian,4,3,0,inf,inf,0.0,8.0,0.41
334,Mustafizur Rahman,308,231,5,61.6,46.2,18.61,8.0,4.6
335,Sajid Mahmood,128,96,2,64.0,48.0,21.88,8.0,8.09
336,Karima Gore,8,6,0,inf,inf,0.0,8.0,1.08
337,Chamika Karunaratne,132,99,2,66.0,49.5,23.23,8.0,12.38
338,Vernon Philander,115,86,2,57.5,43.0,25.58,8.02,6.67
339,Shakib Al Hasan,374,279,9,41.56,31.0,19.35,8.04,2.29
340,Mujeeb Ur Rahman,169,126,0,inf,inf,9.52,8.05,3.18
341,Charl Langeveldt,162,120,2,81.0,60.0,23.33,8.1,3.81
342,Mohammad Sami,92,68,2,46.0,34.0,17.65,8.12,6.61
343,Haris Rauf,272,201,6,45.33,33.5,22.39,8.12,10.95
344,Faheem Ashraf,145,107,2,72.5,53.5,21.5,8.13,7.64
345,Monty Panesar,42,31,0,inf,inf,3.23,8.13,2.36
346,Kuldeep Yadav,297,219,8,37.12,27.38,16.44,8.14,4.22
347,Devendra Bishoo,137,101,2,68.5,50.5,14.85,8.14,4.97
348,Ehsan Khan,53,39,2,26.5,19.5,0.0,8.15,4.89
349,Lockie Ferguson,254,187,2,127.0,93.5,20.86,8.15,5.64
350,Shaun Tait,155,114,0,inf,inf,22.81,8.16,6.67
351,Praveen Kumar,348,256,4,87.0,64.0,26.17,8.16,7.89
352,Mohammad Hafeez,185,136,3,61.67,45.33,6.62,8.16,1.96
353,George Dockrell,162,119,1,162.0,119.0,8.4,8.17,2.49
354,Michael Neser,30,22,0,inf,inf,13.64,8.18,9.95
355,Aaron Hardie,30,22,0,inf,inf,13.64,8.18,20.37
356,Hiren Varaiya,45,33,0,inf,inf,0.0,8.18,1.51
357,Haseeb Amjad,15,11,1,15.0,11.0,0.0,8.18,3.17
358,Abu Jayed,15,11,0,inf,inf,0.0,8.18,10.19
359,Adil Rashid,521,382,19,27.42,20.11,15.97,8.18,5.62
360,Abdul Razzaq,180,132,1,180.0,132.0,18.18,8.18,3.87
361,Albie Morkel,86,63,0,inf,inf,22.22,8.19,3.23
362,Sohail Tanvir,243,178,2,121.5,89.0,19.1,8.19,5.98
363,Jake Ball,108,79,2,54.0,39.5,24.05,8.2,8.33
364,Keemo Paul,122,89,3,40.67,29.67,23.6,8.22,7.04
365,Anthony Ireland,70,51,2,35.0,25.5,0.0,8.24,6.1
366,Farveez Maharoof,335,244,6,55.83,40.67,19.67,8.24,6.19
367,Asela Gunaratne,33,24,0,inf,inf,16.67,8.25,2.88
368,Graeme Cremer,11,8,0,inf,inf,0.0,8.25,0.17
369,Hazrat Bilal,22,16,0,inf,inf,12.5,8.25,5.93
370,Asitha Fernando,22,16,0,inf,inf,25.0,8.25,5.88
371,James Tredwell,62,45,5,12.4,9.0,15.56,8.27,2.14
372,Glenn Maxwell,185,134,3,61.67,44.67,8.96,8.28,3.61
373,Clint McKay,207,150,2,103.5,75.0,21.33,8.28,5.04
374,Abul Hasan,47,34,0,inf,inf,20.59,8.29,15.74
375,Umran Malik,47,34,1,47.0,34.0,32.35,8.29,9.19
376,Ashley Nurse,266,192,2,133.0,96.0,12.5,8.31,8.06
377,Corey Collymore,54,39,1,54.0,39.0,20.51,8.31,2.9
378,Assad Vala,54,39,1,54.0,39.0,0.0,8.31,1.64
379,Dilhara Fernando,344,248,6,57.33,41.33,24.6,8.32,6.46
380,Ishwarjot Sohi,25,18,2,12.5,9.0,0.0,8.33,19.78
381,Jean-Paul Duminy,167,120,1,167.0,120.0,11.67,8.35,3.49
382,Ishant Sharma,326,234,6,54.33,39.0,29.06,8.36,6.21
383,Greg Lamb,39,28,1,39.0,28.0,7.14,8.36,4.36
384,Thilan Thushara,127,91,1,127.0,91.0,17.58,8.37,5.59
385,Naveen-ul-Haq,63,45,1,63.0,45.0,20.0,8.4,6.47
386,Amjad Javed,28,20,1,28.0,20.0,5.0,8.4,3.17
387,Kane Richardson,104,74,4,26.0,18.5,16.22,8.43,5.64
388,Kane Williamson,76,54,1,76.0,54.0,14.81,8.44,3.68
389,Mark Wood,437,310,9,48.56,34.44,20.97,8.46,9.39
390,Craig Young,244,173,10,24.4,17.3,18.5,8.46,8.07
391,Ryan Sidebottom,96,68,0,inf,inf,32.35,8.47,5.69
392,Craig McMillan,24,17,1,24.0,17.0,0.0,8.47,3.64
393,Nehemiah Odhiambo,127,90,0,inf,inf,5.56,8.47,4.14
394,Josh Hazlewood,487,345,10,48.7,34.5,20.87,8.47,7.63
395,Marchant de Lange,85,60,2,42.5,30.0,30.0,8.5,28.57
396,Lameck Onyango,17,12,1,17.0,12.0,0.0,8.5,1.7
397,Tim Murtagh,247,174,5,49.4,34.8,5.75,8.52,5.78
398,Jasprit Bumrah,381,268,8,47.62,33.5,29.85,8.53,5.83
399,Charith Asalanka,27,19,0,inf,inf,10.53,8.53,9.69
400,Darren Gough,81,57,1,81.0,57.0,15.79,8.53,6.12
401,Hasan Ali,449,316,8,56.12,39.5,23.42,8.53,9.85
402,Kyle Mills,499,351,9,55.44,39.0,17.09,8.53,5.45
403,Oshane Thomas,254,178,3,84.67,59.33,26.97,8.56,19.06
404,Kagiso Rabada,573,401,12,47.75,33.42,22.44,8.57,7.7
405,Joel Paris,10,7,0,inf,inf,14.29,8.57,7.22
406,Saleem Mukuddem,60,42,1,60.0,42.0,4.76,8.57,13.68
407,Liam Plunkett,512,358,10,51.2,35.8,22.35,8.58,8.62
408,Elton Chigumbura,345,241,4,86.25,60.25,15.77,8.59,6.22
409,Safyaan Sharif,219,153,2,109.5,76.5,1.31,8.59,4.03
410,Pat Cummins,414,288,10,41.4,28.8,22.57,8.62,6.27
411,Tinashe Panyangara,174,121,1,174.0,121.0,19.83,8.63,4.78
