,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
606,Scott Boland,94,56,4,23.5,14.0,16.07,10.07,7.82
607,Dwayne Bravo,245,146,4,61.25,36.5,21.92,10.07,2.51
608,Richard Ngarava,151,90,0,inf,inf,17.78,10.07,4.58
609,Bilal Khan,126,75,4,31.5,18.75,12.0,10.08,3.09
610,Kasun Rajitha,341,203,7,48.71,29.0,23.15,10.08,13.27
611,Tim Southee,827,491,11,75.18,44.64,20.77,10.11,6.1
612,Nandre Burger,32,19,2,16.0,9.5,36.84,10.11,12.84
613,Shoaib Akhtar,236,140,4,59.0,35.0,21.43,10.11,6.16
614,Grant Elliott,118,70,2,59.0,35.0,21.43,10.11,5.5
615,Aftab Alam,64,38,0,inf,inf,13.16,10.11,3.03
616,Jeremy Gordon,22,13,0,inf,inf,15.38,10.15,2.86
617,Travis Head,105,62,1,105.0,62.0,9.68,10.16,5.89
618,Vivian Kingma,95,56,1,95.0,56.0,12.5,10.18,5.7
619,Bhuvneshwar Kumar,646,380,7,92.29,54.29,21.32,10.2,6.49
620,Odean Smith,68,40,1,68.0,40.0,12.5,10.2,13.94
621,Dasun Shanaka,80,47,2,40.0,23.5,17.02,10.21,4.44
622,Mohammad Saifuddin,75,44,2,37.5,22.0,13.64,10.23,3.42
623,Dimitri Mascarenhas,58,34,0,inf,inf,14.71,10.24,4.12
624,Chris Jordan,212,124,2,106.0,62.0,15.32,10.26,7.46
625,Logan van Beek,373,218,4,93.25,54.5,23.85,10.27,12.7
626,Roger Telemachus,60,35,1,60.0,35.0,14.29,10.29,15.35
627,Matthew Humphreys,36,21,0,inf,inf,14.29,10.29,31.82
628,Andre Adams,91,53,0,inf,inf,18.87,10.3,12.86
629,Mashrafe Mortaza,853,496,6,142.17,82.67,18.15,10.32,5.11
630,Adeel Raja,62,36,0,inf,inf,5.56,10.33,7.5
631,Ish Sodhi,100,58,4,25.0,14.5,15.52,10.34,2.37
632,Miguel Cummins,88,51,1,88.0,51.0,25.49,10.35,11.16
633,Rayyan Pathan,19,11,0,inf,inf,0.0,10.36,29.73
634,Makhaya Ntini,185,107,4,46.25,26.75,15.89,10.37,3.01
635,Andy Blignaut,102,59,2,51.0,29.5,0.0,10.37,20.27
636,Dhammika Prasad,64,37,1,64.0,37.0,24.32,10.38,3.74
637,Anrich Nortje,125,72,2,62.5,36.0,15.28,10.42,7.14
638,Dawlat Zadran,280,161,6,46.67,26.83,14.91,10.43,4.3
639,Kemar Roach,561,322,7,80.14,46.0,20.81,10.45,6.97
640,Dilruwan Perera,54,31,0,inf,inf,25.81,10.45,6.78
641,Iain Wardlaw,129,74,4,32.25,18.5,2.7,10.46,6.51
642,Aryan Dutt,320,183,2,160.0,91.5,10.93,10.49,10.34
643,Colin de Grandhomme,42,24,0,inf,inf,20.83,10.5,1.55
644,Fidel Edwards,203,116,1,203.0,116.0,17.24,10.5,5.89
645,Fayyaz Butt,42,24,1,42.0,24.0,12.5,10.5,2.24
646,George O'Brien,21,12,0,inf,inf,0.0,10.5,13.33
647,Matthew Hoggard,14,8,0,inf,inf,0.0,10.5,2.4
648,Isuru Udana,79,45,0,inf,inf,26.67,10.53,4.94
649,Jason Holder,812,460,7,116.0,65.71,20.43,10.59,7.16
650,Ian Nicolson,46,26,1,46.0,26.0,19.23,10.62,34.21
651,Mehran Khan,23,13,0,inf,inf,0.0,10.62,100.0
652,Mohammad Asif,177,100,3,59.0,33.33,10.0,10.62,5.1
653,Yodhin Punja,16,9,0,inf,inf,0.0,10.67,25.0
654,Taijul Islam,16,9,0,inf,inf,0.0,10.67,0.86
655,Mohammed Shami,433,243,8,54.12,30.38,27.16,10.69,4.87
656,Jason Behrendorff,66,37,0,inf,inf,18.92,10.7,5.73
657,Abdur Rehman,41,23,0,inf,inf,8.7,10.7,1.41
658,Samit Patel,25,14,1,25.0,14.0,28.57,10.71,1.18
659,Vishwa Fernando,91,51,0,inf,inf,13.73,10.71,17.11
660,Peter Ongondo,91,51,2,45.5,25.5,5.88,10.71,3.16
661,Vinay Kumar,109,61,2,54.5,30.5,31.15,10.72,4.24
662,Daren Powell,177,99,5,35.4,19.8,11.11,10.73,3.7
663,Andre Russell,215,120,5,43.0,24.0,32.5,10.75,5.19
664,Henry Osinde,86,48,3,28.67,16.0,0.0,10.75,4.12
665,Kabir Ali,97,54,0,inf,inf,16.67,10.78,7.8
666,Lahiru Kumara,198,110,4,49.5,27.5,34.55,10.8,8.7
667,Lahiru Gamage,18,10,2,9.0,5.0,50.0,10.8,2.45
668,Rizwan Cheema,36,20,3,12.0,6.67,5.0,10.8,1.6
669,Sudeep Tyagi,9,5,0,inf,inf,20.0,10.8,3.01
670,Asif Ali,9,5,0,inf,inf,0.0,10.8,100.0
671,Joe Root,47,26,1,47.0,26.0,19.23,10.85,1.59
672,Tanwir Afzal,114,63,1,114.0,63.0,0.0,10.86,7.4
673,Jofra Archer,76,42,0,inf,inf,28.57,10.86,3.67
674,Michael Leask,96,53,0,inf,inf,3.77,10.87,2.29
675,Matheesha Pathirana,136,75,0,inf,inf,14.67,10.88,14.71
676,Jacob Duffy,87,48,3,29.0,16.0,18.75,10.88,16.49
677,Paul Hoffmann,20,11,0,inf,inf,0.0,10.91,3.16
678,Barinder Sran,20,11,0,inf,inf,9.09,10.91,3.63
679,Umesh Yadav,236,129,3,78.67,43.0,27.91,10.98,3.62
680,Tapash Baisya,97,53,0,inf,inf,16.98,10.98,11.57
681,John Reva,11,6,0,inf,inf,0.0,11.0,1.5
682,Tim de Leede,22,12,0,inf,inf,0.0,11.0,3.51
683,Arshad Khan,11,6,0,inf,inf,0.0,11.0,1.33
684,Soumya Sarkar,55,30,2,27.5,15.0,20.0,11.0,5.62
685,Nathan Hauritz,11,6,0,inf,inf,50.0,11.0,0.25
686,Gajanand Singh,11,6,0,inf,inf,33.33,11.0,5.31
687,Monde Zondeki,33,18,0,inf,inf,16.67,11.0,4.88
688,Brad Evans,24,13,0,inf,inf,7.69,11.08,2.47
689,Al-Amin Hossain,24,13,0,inf,inf,15.38,11.08,1.96
690,Jeffrey Vandersay,76,41,0,inf,inf,4.88,11.12,4.46
691,Josh Davey,141,76,3,47.0,25.33,2.63,11.13,5.85
692,Akeem Jordan,13,7,0,inf,inf,0.0,11.14,10.61
693,Kashif Daud,41,22,1,41.0,22.0,0.0,11.18,3.64
694,Max Sorensen,41,22,1,41.0,22.0,13.64,11.18,4.04
695,Steven Smith,28,15,0,inf,inf,6.67,11.2,1.39
696,Jack Brassell,15,8,0,inf,inf,0.0,11.25,6.06
697,William O’Rourke,15,8,0,inf,inf,25.0,11.25,7.08
698,Faraz Akram,15,8,0,inf,inf,25.0,11.25,6.67
699,Adam Voges,32,17,0,inf,inf,5.88,11.29,5.65
700,Brian Vitori,130,69,1,130.0,69.0,18.84,11.3,5.77
701,Fareed Ahmad,115,61,1,115.0,61.0,21.31,11.31,9.28
702,Ehsan Nawaz,17,9,1,17.0,9.0,0.0,11.33,1.75
703,Shariz Ahmad,34,18,0,inf,inf,0.0,11.33,3.86
704,Mick Lewis,125,66,0,inf,inf,15.15,11.36,18.91
705,Jimmy Kamande,36,19,0,inf,inf,26.32,11.37,1.21
706,Mohit Sharma,131,69,2,65.5,34.5,14.49,11.39,6.13
707,Lahiru Madushanka,57,30,2,28.5,15.0,26.67,11.4,20.69
708,Sheldon Cottrell,227,119,5,45.4,23.8,20.17,11.45,6.9
709,Peter Connell,44,23,0,inf,inf,0.0,11.48,4.91
710,Nathan Coulter-Nile,90,47,0,inf,inf,17.02,11.49,2.8
711,D'Arcy Short,23,12,0,inf,inf,25.0,11.5,13.33
712,Tyson Gordon,23,12,0,inf,inf,0.0,11.5,80.0
713,Fazalhaq Farooqi,194,101,0,inf,inf,27.72,11.52,7.09
714,Dinesh Mongia,25,13,1,25.0,13.0,23.08,11.54,4.17
715,Gordon Goudie,54,28,0,inf,inf,0.0,11.57,3.21
716,James Neesham,89,46,3,29.67,15.33,32.61,11.61,1.87
717,Nuwan Pradeep,244,126,2,122.0,63.0,17.46,11.62,5.35
718,Khaled Mahmud,39,20,0,inf,inf,15.0,11.7,5.71
719,Theo van Woerkom,47,24,1,47.0,24.0,8.33,11.75,14.29
720,Ben Wheeler,59,30,0,inf,inf,3.33,11.8,9.71
721,Dale Steyn,498,250,6,83.0,41.67,23.6,11.95,3.98
722,Kesrick Williams,2,1,0,inf,inf,0.0,12.0,0.3
723,John Davison,6,3,0,inf,inf,0.0,12.0,0.6
724,Chamu Chibhabha,120,60,2,60.0,30.0,13.33,12.0,3.58
725,Justin Kemp,6,3,0,inf,inf,0.0,12.0,0.39
726,Amir Hayat,40,20,1,40.0,20.0,0.0,12.0,4.48
727,Colin Munro,10,5,1,10.0,5.0,20.0,12.0,0.91
728,Jonathan Carter,4,2,0,inf,inf,0.0,12.0,1.47
729,Kabua Morea,66,33,1,66.0,33.0,3.03,12.0,4.45
730,Nestor Dhamba,4,2,1,4.0,2.0,0.0,12.0,0.57
731,Zulfiqar Babar,10,5,0,inf,inf,0.0,12.0,1.7
732,Martin Guptill,12,6,0,inf,inf,0.0,12.0,5.45
733,Timm van der Gugten,20,10,0,inf,inf,0.0,12.0,3.09
734,Iain O'Brien,68,34,0,inf,inf,44.12,12.0,7.51
735,Bilawal Bhatti,30,15,1,30.0,15.0,40.0,12.0,3.66
736,Darius D'Silva,8,4,0,inf,inf,0.0,12.0,2.14
737,Robiul Islam,8,4,0,inf,inf,0.0,12.0,3.01
738,Xavier Bartlett,2,1,0,inf,inf,0.0,12.0,1.03
739,David Wiese,6,3,0,inf,inf,0.0,12.0,0.41
740,Dewald Nel,80,40,0,inf,inf,5.0,12.0,7.07
741,Calvert Hooper,16,8,0,inf,inf,0.0,12.0,4.71
742,Ben Laughlin,4,2,0,inf,inf,50.0,12.0,0.89
743,Steven Taylor,8,4,0,inf,inf,0.0,12.0,0.27
744,Karan KC,129,64,0,inf,inf,1.56,12.09,2.98
745,Jade Dernbach,61,30,0,inf,inf,36.67,12.2,2.43
746,Sese Bau,47,23,0,inf,inf,0.0,12.26,3.23
747,Ali Khan,41,20,0,inf,inf,25.0,12.3,2.92
748,Abhishek Paradkar,41,20,3,13.67,6.67,40.0,12.3,13.89
749,Hamza Tahir,37,18,1,37.0,18.0,5.56,12.33,1.24
750,Ewen Thompson,35,17,0,inf,inf,41.18,12.35,70.83
751,Philippe Boissevain,95,46,0,inf,inf,13.04,12.39,16.37
752,Sam Curran,158,76,2,79.0,38.0,18.42,12.47,5.91
753,Gulsan Jha,77,37,2,38.5,18.5,2.7,12.49,5.09
754,Dolar Mahmud,98,47,1,98.0,47.0,17.02,12.51,22.07
755,Bas de Leede,214,102,3,71.33,34.0,18.63,12.59,7.73
756,Hasan Mahmud,105,50,1,105.0,50.0,24.0,12.6,5.19
757,Ian Holland,21,10,0,inf,inf,0.0,12.6,1.59
758,Donald Tiripano,101,48,0,inf,inf,22.92,12.62,3.18
759,Semo Kamea,114,54,2,57.0,27.0,0.0,12.67,5.37
760,Lizaad Williams,17,8,0,inf,inf,12.5,12.75,3.69
761,Ronsford Beaton,17,8,0,inf,inf,12.5,12.75,7.84
