,bat,innings,entry,arrive_fow,exit,exit_fow,added
1212,Quinton de Kock,155,2.0,0.04058782365290413,141.0,2.267599720083975,139.0
1213,RP Singh,20,141.0,7.852459016393443,186.0,8.954918032786885,45.0
1214,Rachin Ravindra,21,50.0,1.5946291560102301,202.0,3.998721227621483,152.0
1215,Raees Ahmadzai,4,100.0,4.804347826086956,168.0,6.2898550724637685,69.0
1216,Ragheb Aga,7,50.0,3.107142857142857,121.0,4.714285714285714,72.0
1217,Rahat Ali,5,205.0,8.594594594594595,214.0,9.18918918918919,8.0
1218,Rahmanullah Gurbaz,40,2.0,0.05005889281507656,137.0,2.396937573616019,135.0
1219,Rahmat Shah,107,33.0,1.073557148245945,143.0,3.2436816295737456,110.0
1220,Rahul Bhatia,3,146.0,6.842105263157895,172.0,7.2631578947368425,26.0
1221,Rahul Chahar,1,195.0,7.0,224.0,9.0,29.0
1222,Rahul Chopra,3,92.0,3.0,133.0,4.5,41.0
1223,Rahul Dravid,94,52.0,1.6931818181818181,176.0,4.450994318181818,124.0
1224,Rahul Jariwala,4,191.0,4.150943396226415,211.0,5.150943396226415,19.0
1225,Rahul Sharma,1,122.0,7.0,123.0,8.0,1.0
1226,Rajat Patidar,1,0.0,0.0,34.0,1.0,34.0
1227,Rajesh Bhudia,5,115.0,5.76,176.0,7.328,61.0
1228,Rajin Saleh,15,2.0,0.3553054662379421,91.0,2.67524115755627,89.0
1229,Rakep Patel,32,53.0,2.124485596707819,126.0,3.95679012345679,73.0
1230,Rameez Shahzad,26,72.0,2.341117597998332,190.0,4.8807339449541285,118.0
1231,Ramesh David,3,73.0,3.0,156.0,5.75,84.0
1232,Ramesh Mendis,4,198.0,5.54,232.0,6.78,33.0
1233,Ramesh Powar,15,145.0,5.987394957983193,204.0,7.659663865546219,59.0
1234,Ramnaresh Sarwan,101,41.0,1.4552609776304888,157.0,3.9743164871582435,116.0
1235,Rangana Herath,28,181.0,7.350877192982456,207.0,8.679824561403509,26.0
1236,Raqibul Hasan,54,60.0,2.513181818181818,149.0,4.862272727272727,88.0
1237,Rashid Khan,81,156.0,6.302936630602782,208.0,7.809891808346213,52.0
1238,Rassie van der Dussen,56,71.0,1.6671511627906976,213.0,3.9044331395348837,142.0
1239,Ravi Bishnoi,1,216.0,8.0,220.0,8.0,4.0
1240,Ravi Bopara,109,83.0,2.901783187093122,167.0,5.082649306538353,84.0
1241,Ravi Rampaul,33,159.0,7.966824644549763,198.0,9.059241706161137,39.0
1242,Ravi Shah,6,20.0,0.952191235059761,100.0,3.5737051792828685,79.0
1243,Ravichandran Ashwin,61,169.0,5.959085439229844,217.0,7.0661853188929005,48.0
1244,Ravinderpal Singh,5,142.0,6.170940170940171,186.0,8.179487179487179,44.0
1245,Ravindra Jadeja,128,149.0,5.01497454327643,221.0,6.9871218927822705,72.0
1246,Rawl Lewis,8,181.0,5.9765625,220.0,7.0390625,39.0
1247,Ray Price,44,135.0,7.609489051094891,167.0,8.941605839416058,31.0
1248,Rayad Emrit,2,159.0,7.0,185.0,8.885714285714286,25.0
1249,Raymon Reifer,5,131.0,5.970873786407767,172.0,8.41747572815534,42.0
1250,Rayyan Pathan,1,244.0,8.0,248.0,9.0,4.0
1251,Raza Hasan,1,204.0,7.0,204.0,8.0,0.0
1252,Raza-ur-Rehman,5,71.0,2.5737051792828685,194.0,5.764940239043825,122.0
1253,Reece Topley,12,176.0,8.616438356164384,192.0,9.178082191780822,16.0
1254,Reeza Hendricks,34,18.0,0.4318936877076412,120.0,2.2176079734219267,102.0
1255,Regan West,3,204.0,6.7727272727272725,234.0,6.909090909090909,31.0
1256,Regis Chakabva,57,42.0,1.9501121076233183,126.0,4.483744394618834,84.0
1257,Rehan Ahmed,4,207.0,7.145833333333333,223.0,8.145833333333334,15.0
1258,Reinhardt Strydom,4,3.0,0.0,51.0,1.9781021897810218,47.0
1259,Reon King,1,260.0,9.0,277.0,9.0,17.0
1260,Riaz Hassan,4,2.0,0.0,83.0,2.0862944162436547,81.0
1261,Ricardo Powell,7,37.0,1.8585858585858586,76.0,3.191919191919192,39.0
1262,Richard Ngarava,26,147.0,8.39622641509434,181.0,9.165094339622641,35.0
1263,Richie Berrington,110,64.0,2.595744680851064,174.0,5.133102424542305,111.0
1264,Richmond Mutumbami,34,56.0,2.3751451800232286,119.0,4.508710801393728,63.0
1265,Ricky Ponting,160,39.0,0.9884952281343966,173.0,3.114001830304615,134.0
1266,Rijan Dhakal,1,219.0,8.0,223.0,9.0,4.0
1267,Rikki Clarke,3,100.0,5.238095238095238,166.0,7.968253968253968,66.0
1268,Rilee Rossouw,35,51.0,1.4340044742729305,183.0,2.8903803131991053,132.0
1269,Riley Hekure,24,142.0,4.610169491525424,192.0,6.444915254237288,50.0
1270,Rinku Singh,2,190.0,4.0,252.0,7.333333333333333,61.0
1271,Rishabh Pant,26,96.0,2.3225806451612905,199.0,4.448028673835125,103.0
1272,Rishad Hossain,2,203.0,6.181818181818182,244.0,6.545454545454546,40.0
1273,Rishi Dhawan,2,293.0,6.0,303.0,6.615384615384615,10.0
1274,Rizwan Cheema,31,32.0,1.138755980861244,97.0,3.0494417862838916,64.0
1275,Rob Nicol,21,1.0,0.028186274509803922,149.0,2.5183823529411766,148.0
1276,Rob Taylor,14,148.0,5.715909090909091,183.0,7.113636363636363,35.0
1277,Robin Peterson,31,134.0,4.890287769784172,190.0,6.893884892086331,56.0
1278,Robin Uthappa,41,60.0,1.7719626168224298,132.0,3.411214953271028,72.0
1279,Robiul Islam,1,235.0,9.0,235.0,9.0,0.0
1280,Rodney Trott,7,100.0,5.322916666666667,180.0,7.911458333333333,80.0
1281,Roelof van der Merwe,17,156.0,5.697435897435898,201.0,7.21025641025641,45.0
1282,Roger Telemachus,3,262.0,7.7,289.0,9.3,27.0
1283,Roger Whelan,2,154.0,9.0,157.0,10.0,3.0
1284,Rohan Mustafa,74,49.0,2.300755033557047,134.0,5.057885906040268,85.0
1285,Rohit Paudel,58,56.0,2.4126984126984126,159.0,5.292717086834734,102.0
1286,Rohit Sharma,254,20.0,0.5940953184310418,174.0,2.9843947701391818,154.0
1287,Romario Shepherd,25,144.0,5.930693069306931,197.0,7.517326732673268,53.0
1288,Ronsford Beaton,2,144.0,7.462962962962963,164.0,8.0,20.0
1289,Rony Talukdar,1,7.0,0.0,18.0,1.0,11.0
1290,Rory Kleinveldt,7,136.0,7.449612403100775,195.0,8.767441860465116,58.0
1291,Rory McCann,4,103.0,4.166666666666667,134.0,5.545454545454546,30.0
1292,Ross Lyons,7,122.0,8.146666666666667,152.0,9.186666666666667,30.0
1293,Ross Taylor,219,62.0,1.938161875945537,200.0,4.782904689863843,138.0
1294,Roston Chase,33,92.0,3.128301886792453,172.0,4.933018867924528,80.0
1295,Rovman Powell,48,116.0,4.478885135135135,184.0,6.42652027027027,68.0
1296,Roy Lamsam,1,67.0,5.0,109.0,8.0,42.0
1297,Royston Crandon,1,92.0,6.0,102.0,8.0,10.0
1298,Ruaidhri Smith,1,110.0,7.0,122.0,8.0,12.0
1299,Rubel Hossain,47,183.0,8.401433691756273,201.0,9.129032258064516,18.0
1300,Ruben Trumpelmann,30,139.0,6.705882352941177,185.0,8.355042016806722,46.0
1301,Ruchira Perera,5,188.0,9.1,193.0,9.5,4.0
1302,Rumman Raees,4,134.0,9.0,151.0,9.8,17.0
1303,Runako Morton,49,34.0,1.3489082969432313,156.0,4.11528384279476,122.0
1304,Runish Gudhka,2,173.0,6.5,188.0,7.0,16.0
1305,Russel Arnold,43,118.0,4.241825095057035,202.0,6.551330798479087,84.0
1306,Rustam Bhatti,1,127.0,9.0,133.0,9.0,6.0
1307,Rusty Theron,12,157.0,7.798076923076923,181.0,9.211538461538462,25.0
1308,Ruturaj Gaikwad,6,16.0,0.3522012578616352,98.0,1.6163522012578617,82.0
1309,Ruvindu Gunasekera,18,11.0,0.6179941002949852,98.0,3.1194690265486726,88.0
1310,Ryan Burl,44,101.0,4.313790255986787,172.0,6.770437654830719,71.0
1311,Ryan Flannigan,1,12.0,1.0,15.0,2.0,3.0
1312,Ryan Haire,1,66.0,4.0,153.0,7.0,87.0
1313,Ryan Harris,9,219.0,6.979166666666667,231.0,8.666666666666666,12.0
1314,Ryan Higgins,4,151.0,6.484848484848484,162.0,7.666666666666667,11.0
1315,Ryan Klein,9,168.0,7.182926829268292,188.0,8.804878048780488,20.0
1316,Ryan McLaren,41,144.0,5.304597701149425,197.0,6.949712643678161,52.0
1317,Ryan Murray,5,64.0,3.0,125.0,5.833333333333333,61.0
1318,Ryan Ramdass,1,3.0,0.0,4.0,1.0,1.0
1319,Ryan Rickelton,2,47.0,0.5925925925925926,79.0,1.5925925925925926,32.0
1320,Ryan Sidebottom,17,158.0,8.076142131979696,182.0,9.137055837563452,24.0
1321,Ryan Steede,3,156.0,7.3,173.0,8.3,16.0
1322,Ryan Watson,24,21.0,1.0872313527180784,112.0,3.7420986093552466,91.0
1323,Ryan ten Doeschate,22,40.0,2.1167369901547115,188.0,5.042897327707454,148.0
1324,S Badrinath,6,65.0,3.3045977011494254,104.0,4.632183908045977,39.0
1325,Saad Bin Zafar,10,141.0,5.394230769230769,184.0,6.5576923076923075,43.0
1326,Saad Nasim,3,108.0,5.0,239.0,6.576,132.0
1327,Sabbir Rahman,59,103.0,3.4398671096345517,185.0,5.291029900332226,82.0
1328,Sabir Ali,3,174.0,8.538461538461538,187.0,9.923076923076923,13.0
1329,Sachin Tendulkar,119,10.0,0.2158703071672355,168.0,3.1216723549488052,158.0
1330,Sachith Pathirana,14,139.0,5.769423558897243,192.0,7.7218045112781954,53.0
1331,Sachithra Senanayake,33,176.0,7.1526479750778815,211.0,8.504672897196262,35.0
1332,Sadeera Samarawickrama,38,65.0,1.7155448717948718,180.0,3.7860576923076925,115.0
1333,Saeed Ajmal,67,165.0,7.9500924214417745,194.0,8.950092421441774,29.0
1334,Safyaan Sharif,53,158.0,6.685185185185185,194.0,7.712962962962963,36.0
1335,Sagar Dhakal,6,153.0,8.863636363636363,157.0,9.0,5.0
1336,Sagar Pun,1,33.0,2.0,43.0,3.0,10.0
1337,Sahan Arachchige,3,62.0,2.9402985074626864,151.0,4.470149253731344,88.0
1338,Sai Sudharsan,3,4.0,0.5902777777777778,107.0,2.5902777777777777,103.0
1339,Saiteja Mukkamalla,17,43.0,1.2777777777777777,148.0,3.4087301587301586,105.0
1340,Sajid Mahmood,12,171.0,7.14,190.0,8.02,20.0
1341,Saleem Mukuddem,5,93.0,4.707964601769912,171.0,9.0929203539823,78.0
1342,Salman Butt,71,1.0,0.0009027986758952753,133.0,2.7363827866385795,133.0
1343,Salman Faris,3,1.0,0.0,60.0,1.0,59.0
1344,Sam Billings,23,75.0,2.84418901660281,180.0,5.135376756066411,106.0
1345,Sam Curran,24,165.0,5.504016064257028,229.0,7.36144578313253,63.0
1346,Sam Hain,2,167.0,3.0,319.0,7.28,153.0
1347,Sam Heazlett,1,48.0,4.0,67.0,6.0,19.0
1348,Sami Aslam,4,3.0,0.0,64.0,1.3821138211382114,62.0
1349,Samit Patel,22,153.0,4.806390977443609,211.0,6.757518796992481,58.0
1350,Samiullah Shinwari,73,83.0,3.503948312993539,170.0,6.233309404163675,87.0
1351,Sanath Jayasuriya,107,6.0,0.16690042075736325,115.0,2.425806451612903,110.0
1352,Sanchit Sharma,8,155.0,6.168224299065421,210.0,7.710280373831775,54.0
1353,Sandeep Goud,29,110.0,5.189826302729529,179.0,6.67741935483871,70.0
1354,Sandeep Jyoti,10,33.0,1.5929919137466306,172.0,4.2803234501347704,139.0
1355,Sandeep Lamichhane,33,135.0,7.257709251101321,178.0,8.433920704845814,43.0
1356,Sandun Weerakkody,3,164.0,1.8208955223880596,257.0,6.149253731343284,92.0
1357,Sanjay Krishnamurthi,3,141.0,4.833333333333333,161.0,5.791666666666667,20.0
1358,Sanjayan Thuraisingam,1,177.0,7.0,179.0,7.0,2.0
1359,Sanju Samson,14,97.0,2.5483870967741935,214.0,4.834914611005693,117.0
1360,Saqib Ali,5,116.0,2.564885496183206,163.0,3.816793893129771,47.0
1361,Saqib Mahmood,2,263.0,8.46875,285.0,10.0,22.0
1362,Saqib Zulfiqar,15,134.0,4.746031746031746,184.0,6.803174603174603,49.0
1363,Saqlain Haider,4,158.0,5.405063291139241,216.0,7.493670886075949,58.0
1364,Sarfaraz Ahmed,91,101.0,3.1876616180273367,196.0,5.495012929442187,95.0
1365,Saud Shakeel,12,100.0,3.1648648648648647,192.0,5.627027027027027,93.0
1366,Saurabh Netravalkar,28,179.0,8.291304347826086,199.0,8.978260869565217,20.0
1367,Saurabh Tiwary,2,210.0,5.0,312.0,5.0,102.0
1368,Sayed Shirzad,1,260.0,8.0,288.0,10.0,28.0
1369,Scott Boland,4,215.0,9.0,220.0,9.681818181818182,5.0
1370,Scott Borthwick,2,181.0,7.0,200.0,8.0,19.0
1371,Scott Cameron,2,276.0,8.692307692307692,293.0,8.846153846153847,17.0
1372,Scott Currie,2,176.0,6.473684210526316,183.0,7.473684210526316,7.0
1373,Scott Edwards,47,87.0,2.891764705882353,189.0,6.3876470588235295,102.0
1374,Scott Kuggeleijn,1,274.0,6.0,288.0,7.0,14.0
1375,Scott McKechnie,8,95.0,3.606217616580311,148.0,5.186528497409326,53.0
1376,Scott Styris,80,71.0,2.70545673801628,184.0,5.290925535122098,114.0
1377,Sean Abbott,15,173.0,6.107142857142857,230.0,8.735714285714286,58.0
1378,Sean Terry,5,38.0,1.7397260273972603,56.0,3.136986301369863,18.0
1379,Sean Williams,146,64.0,2.597563098346388,177.0,5.246127067014795,113.0
1380,Seekkuge Prasanna,36,162.0,5.202586206896552,208.0,6.515086206896552,45.0
1381,Semo Kamea,16,182.0,8.98360655737705,187.0,9.426229508196721,5.0
1382,Seren Waters,20,1.0,0.04291287386215865,74.0,2.6215864759427827,73.0
1383,Sese Bau,57,57.0,2.601553829078801,130.0,4.834073251942287,73.0
1384,Sewnarine Chattergoon,17,2.0,0.03514376996805112,82.0,1.2412140575079873,80.0
1385,Shabbir Ahmed,1,192.0,9.0,192.0,9.0,0.0
1386,Shabir Noori,10,17.0,0.6996699669966997,122.0,3.570957095709571,105.0
1387,Shadab Khan,44,133.0,5.067580803134182,205.0,7.215475024485798,73.0
1388,Shadeep Silva,1,182.0,7.0,198.0,8.0,16.0
1389,Shafiqullah,20,139.0,5.36870026525199,195.0,7.344827586206897,56.0
1390,Shafiul Islam,34,183.0,7.8312757201646095,200.0,8.748971193415638,17.0
1391,Shahadat Hossain,22,163.0,8.450331125827814,175.0,8.894039735099337,12.0
1392,Shahbaz Ahmed,1,152.0,5.0,153.0,6.0,1.0
1393,Shaheed Keshvani,1,96.0,5.0,175.0,5.0,79.0
1394,Shaheen Shah Afridi,27,204.0,7.669421487603306,230.0,8.74793388429752,26.0
1395,Shahid Afridi,185,126.0,4.242857142857143,185.0,5.791694352159468,59.0
1396,Shahid Ahmadzai,3,213.0,7.512820512820513,229.0,8.41025641025641,17.0
1397,Shahid Wasif,7,96.0,4.291666666666667,139.0,6.095238095238095,43.0
1398,Shahidullah,3,74.0,3.0422535211267605,159.0,7.704225352112676,86.0
1399,Shahnawaz Dahani,1,264.0,9.0,269.0,9.0,5.0
1400,Shahriar Nafees,63,7.0,0.20942607373622196,117.0,2.8171797795515015,110.0
1401,Shahzad Khan,1,2.0,0.0,16.0,2.0,14.0
1402,Shahzaib Hasan,3,0.0,0.0,67.0,1.8898305084745763,66.0
1403,Shai Hope,119,23.0,0.79584927877539,182.0,4.1538121872240215,160.0
1404,Shaiman Anwar,39,57.0,2.709526982011992,154.0,5.475682878081279,96.0
1405,Shakib Al Hasan,226,67.0,2.4830375196585037,169.0,4.85463940687486,102.0
1406,Shakti Gauchan,1,104.0,6.0,134.0,9.0,30.0
1407,Shamarh Brooks,29,36.0,1.1608695652173913,148.0,3.7504347826086954,111.0
1408,Shamim Hossain,4,172.0,4.863636363636363,195.0,5.863636363636363,23.0
1409,Shaminda Eranga,11,188.0,7.823529411764706,198.0,8.573529411764707,10.0
1410,Shamsur Rahman,10,5.0,0.26740947075208915,113.0,2.4596100278551534,109.0
1411,Shan Masood,9,14.0,0.18067226890756302,82.0,1.8991596638655461,69.0
1412,Shanan Stewart,4,88.0,4.2,103.0,5.2,15.0
1413,Shane Bond,26,183.0,8.048979591836735,206.0,8.730612244897959,23.0
1414,Shane Dowrich,1,211.0,5.0,219.0,6.0,8.0
1415,Shane Getkate,2,204.0,5.0,235.0,6.0,32.0
1416,Shane Harwood,1,256.0,9.0,256.0,10.0,0.0
1417,Shane Snater,4,182.0,7.0,205.0,8.074074074074074,22.0
1418,Shane Warne,1,338.0,8.0,340.0,8.0,2.0
1419,Shane Watson,151,26.0,0.7153807698716881,143.0,2.8336943842692883,118.0
1420,Shannon Gabriel,12,173.0,9.0,183.0,9.396825396825397,10.0
1421,Shapoor Zadran,23,168.0,8.579268292682928,181.0,9.085365853658537,13.0
1422,Sharad Vesawkar,4,28.0,2.1354838709677417,146.0,7.574193548387097,118.0
1423,Sharafuddin Ashraf,10,190.0,6.275229357798165,221.0,7.761467889908257,31.0
1424,Shardul Thakur,24,207.0,5.7601246105919,252.0,7.046728971962617,45.0
1425,Shariz Ahmad,11,141.0,6.111111111111111,186.0,7.098039215686274,45.0
1426,Sharjeel Khan,25,2.0,0.06301369863013699,94.0,1.9479452054794522,92.0
1427,Shaun Fouché,7,2.0,0.06325301204819277,120.0,4.099397590361446,118.0
1428,Shaun Marsh,72,27.0,0.8442268931759286,168.0,3.5669450043190327,141.0
1429,Shaun Pollock,58,123.0,5.143170197224252,208.0,7.180423666910153,84.0
1430,Shaun Tait,6,185.0,8.689655172413794,198.0,8.689655172413794,13.0
1431,Shaun Udal,1,192.0,8.0,192.0,9.0,0.0
1432,Shawn Findlay,8,86.0,3.074626865671642,147.0,5.736318407960199,61.0
1433,Shayan Jahangir,11,87.0,4.078378378378378,171.0,6.278378378378378,84.0
1434,Shehan Jayasuriya,10,78.0,4.259124087591241,178.0,6.036496350364963,100.0
1435,Shehan Madushanka,1,210.0,7.0,219.0,9.0,9.0
1436,Sheldon Cottrell,17,190.0,8.177777777777777,209.0,9.0,19.0
1437,Shem Ngoche,9,85.0,7.385321100917431,110.0,9.009174311926605,25.0
1438,Sherfane Rutherford,3,48.0,4.0,151.0,5.0,103.0
1439,Shevon Daniel,1,1.0,0.0,74.0,2.0,73.0
1440,Shikhar Dhawan,164,3.0,0.05694371383482378,141.0,2.0565491846396635,138.0
1441,Shimron Hetmyer,50,70.0,2.158108108108108,176.0,4.383108108108108,106.0
1442,Shingi Masakadza,11,138.0,7.115384615384615,184.0,8.82967032967033,47.0
1443,Shivam Dube,1,270.0,7.0,282.0,8.0,12.0
1444,Shivnarine Chanderpaul,102,44.0,1.5804351550454,173.0,4.951002227171492,129.0
1445,Shoaib Akhtar,25,194.0,7.968253968253968,207.0,8.833333333333334,13.0
1446,Shoaib Khan,26,67.0,2.0610021786492374,183.0,4.0816993464052285,117.0
1447,Shoaib Malik,185,77.0,2.6225431804645623,176.0,4.674657534246576,99.0
1448,Shoriful Islam,19,200.0,7.87962962962963,211.0,8.796296296296296,11.0
1449,Shreyas Iyer,54,86.0,1.7893004115226336,221.0,3.882304526748971,135.0
1450,Shreyas Movva,6,163.0,4.902985074626866,219.0,6.649253731343284,56.0
1451,Shubman Gill,44,8.0,0.17678334071776694,172.0,3.0186087727071333,163.0
1452,Shuvagata Hom,3,126.0,4.0,185.0,4.5227272727272725,59.0
1453,Siddarth Kaul,2,226.0,8.333333333333334,226.0,9.0,1.0
1454,Sikandar Raza,134,76.0,2.814332247557003,177.0,5.208469055374593,101.0
1455,Simandeep Singh,1,83.0,3.0,85.0,4.0,2.0
1456,Simi Singh,30,108.0,4.585394581861013,181.0,6.813898704358068,73.0
1457,Simon Atai,12,82.0,4.320652173913044,129.0,5.809782608695652,47.0
1458,Simon Jones,1,162.0,7.0,162.0,8.0,0.0
1459,Simon Katich,38,11.0,0.42138364779874216,131.0,2.7374213836477987,120.0
1460,Sisanda Magala,5,304.0,6.48,316.0,7.16,12.0
1461,Skhawat Ali,4,1.0,0.0,59.0,1.7758620689655173,58.0
1462,Sohag Gazi,16,173.0,6.283720930232558,207.0,7.9906976744186045,34.0
1463,Sohaib Maqsood,28,78.0,2.823958333333333,165.0,4.583333333333333,87.0
1464,Sohail Khan,6,173.0,7.634615384615385,185.0,9.442307692307692,12.0
1465,Sohail Tanvir,38,181.0,6.628205128205129,217.0,8.081196581196581,37.0
1466,Sohrawordi Shuvo,10,176.0,5.869565217391305,197.0,7.471014492753623,22.0
1467,Solomon Mire,47,23.0,0.9509403107113655,100.0,3.0212591986917414,77.0
1468,Sompal Kami,42,124.0,5.696750902527076,177.0,7.273164861612515,52.0
1469,Soumya Sarkar,64,13.0,0.6026303428839831,129.0,3.0267731329262566,116.0
1470,Sourav Ganguly,43,10.0,0.14608294930875576,148.0,2.713364055299539,138.0
1471,Sreesanth,19,217.0,8.792,232.0,9.392,16.0
1472,Srimantha Wijeyeratne,10,25.0,1.150273224043716,139.0,3.57103825136612,114.0
1473,Stefan Kelly,4,190.0,8.7,198.0,8.7,8.0
1474,Stephan Baard,19,10.0,0.38474295190713104,77.0,2.3018242122719736,67.0
1475,Stephan Myburgh,22,2.0,0.0,77.0,2.2240356083086055,75.0
1476,Stephen Doheny,7,4.0,0.0,102.0,2.2593984962406015,98.0
1477,Stephen Fleming,49,11.0,0.3288152610441767,121.0,2.9241967871485945,110.0
1478,Steve Harmison,12,189.0,8.518072289156626,214.0,9.25301204819277,25.0
1479,Steve Tikolo,47,52.0,2.265592151366503,134.0,4.597056762438682,82.0
1480,Steven Davies,8,7.0,0.100418410041841,98.0,1.3849372384937237,91.0
1481,Steven Finn,27,180.0,8.346491228070175,203.0,9.548245614035087,23.0
1482,Steven Outerbridge,13,46.0,1.5263157894736843,83.0,3.07719298245614,37.0
1483,Steven Smith,142,57.0,1.4493232609379918,201.0,4.3364809568775575,144.0
1484,Steven Taylor,45,3.0,0.19078947368421054,100.0,2.650657894736842,97.0
1485,Steven Welsh,1,73.0,8.0,172.0,10.0,99.0
1486,Stuart Binny,11,118.0,5.138888888888889,200.0,7.2063492063492065,82.0
1487,Stuart Broad,66,164.0,7.004065040650406,203.0,8.13550135501355,39.0
1488,Stuart Carlisle,3,1.0,0.0,74.0,3.935064935064935,73.0
1489,Stuart Chalmers,1,218.0,5.0,249.0,5.0,31.0
1490,Stuart Clark,11,181.0,7.666666666666667,202.0,8.966666666666667,21.0
1491,Stuart Matsikenyeri,73,64.0,2.4930337078651688,147.0,4.690337078651686,83.0
1492,Stuart Meaker,2,192.0,8.0,201.0,9.0,9.0
1493,Stuart Poynter,19,98.0,4.426573426573427,141.0,6.2027972027972025,43.0
1494,Stuart Thompson,15,129.0,4.196078431372549,175.0,5.913725490196079,46.0
1495,Stuart Whittingham,4,239.0,8.5,243.0,9.166666666666666,4.0
1496,Subash Khakurel,6,3.0,0.46153846153846156,67.0,2.78021978021978,65.0
1497,Subashis Roy,1,175.0,9.0,179.0,9.0,4.0
1498,Sudeep Tyagi,1,273.0,9.0,274.0,9.0,1.0
1499,Sufyan Mehmood,1,1.0,0.0,30.0,2.0,29.0
1500,Sulieman Benn,29,178.0,7.93801652892562,200.0,9.177685950413224,22.0
1501,Sultan Ahmed,2,106.0,7.590909090909091,130.0,9.181818181818182,24.0
1502,Sundeep Jora,5,155.0,4.333333333333333,185.0,5.45,30.0
1503,Sunil Ambris,15,14.0,0.25346534653465347,139.0,2.203960396039604,125.0
1504,Sunil Dhamala,1,1.0,0.0,40.0,2.0,39.0
1505,Sunil Dhaniram,27,104.0,4.3816120906801,179.0,6.593198992443325,75.0
1506,Sunil Narine,42,156.0,7.723076923076923,189.0,8.881318681318682,33.0
1507,Sunzamul Islam,1,168.0,7.0,196.0,9.0,28.0
1508,Suraj Kumar,20,113.0,4.537477148080439,182.0,6.235831809872029,69.0
1509,Suraj Randiv,17,117.0,5.984615384615385,181.0,8.084615384615384,64.0
1510,Suranga Lakmal,46,183.0,7.8123515439429925,208.0,8.660332541567696,25.0
1511,Suresh Raina,194,105.0,3.0687932978894796,199.0,4.615434187207991,95.0
1512,Surya Tamang,1,181.0,7.0,223.0,8.0,42.0
1513,Suryakumar Yadav,35,132.0,3.3501997336884153,196.0,5.07190412782956,64.0
1514,Sushan Bhari,7,175.0,8.491228070175438,194.0,9.578947368421053,20.0
1515,Sushant Modani,31,3.0,0.02408759124087591,120.0,3.6350364963503647,116.0
1516,Swapnil Patil,12,69.0,3.1094890510948905,179.0,6.970802919708029,109.0
1517,Sybrand Engelbrecht,12,66.0,2.8634868421052633,151.0,5.425986842105263,85.0
1518,Syed Rasel,26,161.0,8.828877005347593,174.0,9.556149732620321,12.0
1519,Syed Saad Ali,2,235.0,4.0,254.0,5.478260869565218,19.0
1520,Sylvester Joseph,4,28.0,1.0,125.0,2.8045112781954886,97.0
1521,Tabarak Dar,2,1.0,0.0,79.0,4.273684210526316,79.0
1522,Tabraiz Shamsi,12,161.0,9.014492753623188,171.0,9.18840579710145,11.0
1523,Tadiwanashe Marumani,11,14.0,0.15444015444015444,65.0,3.0077220077220077,51.0
1524,Tafadzwa Kamungozi,10,169.0,8.89655172413793,178.0,9.362068965517242,9.0
1525,Tafadzwa Mufambisi,5,38.0,1.1222222222222222,61.0,3.2111111111111112,23.0
1526,Taijul Islam,12,185.0,6.798913043478261,216.0,8.48913043478261,31.0
1527,Takudzwanashe Kaitano,11,1.0,0.12121212121212122,52.0,1.6856060606060606,51.0
1528,Tama Canning,1,170.0,5.0,199.0,7.0,29.0
1529,Tamim Iqbal,236,1.0,0.007442116868798236,125.0,2.714718853362734,125.0
1530,Tanaka Chivanga,6,166.0,9.0,175.0,9.121212121212121,9.0
1531,Tanbir Hayder,2,158.0,5.647058823529412,166.0,7.0,7.0
1532,Tangeni Lungameni,9,185.0,8.63888888888889,198.0,9.055555555555555,13.0
1533,Tanish Suri,2,5.0,0.0,52.0,0.90625,47.0
1534,Tanmay Mishra,22,73.0,3.194318181818182,164.0,5.5227272727272725,91.0
1535,Tanveer Ahmed,3,151.0,9.0,156.0,9.0,5.0
1536,Tanveer Sangha,1,200.0,8.0,200.0,9.0,0.0
1537,Tanvir Ahmed,1,221.0,7.0,244.0,9.0,23.0
1538,Tanwir Afzal,19,151.0,5.7578125,190.0,7.28515625,40.0
1539,Tanzid Hasan,14,2.0,0.1070110701107011,75.0,2.3690036900369003,73.0
1540,Tanzim Hasan Sakib,4,212.0,6.372881355932203,251.0,7.135593220338983,39.0
1541,Tapash Baisya,5,127.0,8.511811023622048,170.0,9.0,43.0
1542,Tapiwa Mufudza,1,202.0,9.0,208.0,10.0,6.0
1543,Tarisai Musakanda,16,32.0,1.1843434343434343,105.0,3.8661616161616164,73.0
1544,Tarun Nethula,3,199.0,9.0,211.0,9.272727272727273,11.0
1545,Taskin Ahmed,37,170.0,7.207692307692308,196.0,8.9,26.0
1546,Tatenda Taibu,78,50.0,2.27665357897916,152.0,4.995167623074599,102.0
1547,Taufeeq Umar,4,2.0,0.0,59.0,1.3384615384615384,58.0
1548,Taurai Muzarabani,7,146.0,8.725,152.0,9.875,7.0
1549,Tawanda Mupariwa,24,130.0,7.388461538461539,160.0,8.807692307692308,30.0
1550,Teddy Bishop,1,43.0,3.0,44.0,4.0,1.0
1551,Teja Nidamanuru,28,105.0,4.100407055630936,198.0,6.421981004070556,93.0
1552,Temba Bavuma,37,20.0,0.49222797927461137,177.0,3.5077720207253886,157.0
1553,Tendai Chatara,56,163.0,7.868008948545861,185.0,9.181208053691275,22.0
1554,Tendai Chisoro,16,151.0,6.99163179916318,186.0,8.0,35.0
