,bat,innings,entry,arrive_fow,exit,exit_fow,added
967,Michael Chinouya,2,165.0,9.0,170.0,9.222222222222221,5.0
968,Michael Clarke,191,67.0,1.962331741207121,187.0,4.262483716891012,120.0
969,Michael Hussey,155,102.0,3.303562945368171,207.0,5.603800475059383,104.0
970,Michael Jones,12,21.0,0.6685185185185185,126.0,4.12962962962963,106.0
971,Michael Kasprowicz,1,247.0,8.0,248.0,9.0,1.0
972,Michael Leask,59,130.0,4.94843617920541,201.0,6.634826711749788,71.0
973,Michael Levitt,4,0.0,0.0,84.0,2.3333333333333335,84.0
974,Michael Lumb,3,0.0,0.0,132.0,2.7475728155339807,131.0
975,Michael Mason,5,144.0,8.818181818181818,148.0,9.606060606060606,4.0
976,Michael Neser,4,189.0,5.689655172413793,204.0,7.172413793103448,15.0
977,Michael Papps,1,7.0,1.0,17.0,1.0,10.0
978,Michael Rippon,7,80.0,4.280155642023346,173.0,8.178988326848248,94.0
979,Michael Swart,11,36.0,0.9330985915492958,110.0,2.538732394366197,73.0
980,Michael Vandort,1,2.0,1.0,115.0,4.0,113.0
981,Michael Vaughan,24,24.0,0.616822429906542,113.0,2.7990654205607477,89.0
982,Michael Yardy,24,129.0,4.7306122448979595,194.0,6.912244897959184,65.0
983,Michael van Lingen,32,22.0,0.9559748427672956,149.0,3.3692722371967654,126.0
984,Michau du Preez,3,130.0,4.266666666666667,146.0,5.533333333333333,16.0
985,Mick Lewis,1,242.0,9.0,247.0,9.0,5.0
986,Miguel Cummins,3,156.0,8.161290322580646,166.0,9.709677419354838,10.0
987,Milinda Siriwardana,24,115.0,4.280148423005566,184.0,5.935064935064935,68.0
988,Milton Shumba,9,68.0,3.1186440677966103,97.0,4.52542372881356,29.0
989,Minod Bhanuka,6,32.0,0.6,97.0,2.2,65.0
990,Mirwais Ashraf,35,145.0,6.337278106508876,174.0,7.575936883629192,29.0
991,Misbah-ul-Haq,135,77.0,2.6470854044283776,187.0,5.471908419942762,109.0
992,Mitchell Johnson,90,182.0,6.129064039408867,219.0,7.287684729064039,36.0
993,Mitchell Marsh,85,86.0,2.451223838240511,198.0,4.4572543455125935,112.0
994,Mitchell McClenaghan,14,182.0,8.713286713286713,226.0,9.006993006993007,44.0
995,Mitchell Santner,78,167.0,5.742613263296126,223.0,7.605384110308601,56.0
996,Mitchell Starc,64,163.0,6.945945945945946,204.0,8.366216216216216,41.0
997,Mitchell Swepson,1,185.0,8.0,185.0,9.0,0.0
998,Mluleki Nkala,4,122.0,4.96,160.0,6.746666666666667,38.0
999,Moeen Ali,112,116.0,3.4012997562956944,190.0,5.163688058489034,74.0
1000,Mohammad Aadil Alam,4,137.0,4.621951219512195,174.0,5.987804878048781,37.0
1001,Mohammad Amir,30,155.0,7.62800875273523,205.0,8.680525164113785,50.0
1002,Mohammad Ashraful,117,45.0,1.8647594278283486,132.0,4.129778933680104,87.0
1003,Mohammad Asif,14,187.0,8.96116504854369,201.0,9.611650485436893,13.0
1004,Mohammad Boota,9,99.0,4.756756756756757,158.0,6.853281853281853,59.0
1005,Mohammad Hafeez,194,26.0,0.709038485646233,140.0,3.0359784380092765,114.0
1006,Mohammad Haris,5,165.0,3.7222222222222223,175.0,4.722222222222222,10.0
1007,Mohammad Hasnain,5,267.0,9.035714285714286,294.0,9.642857142857142,28.0
1008,Mohammad Iqbal,5,1.0,0.011627906976744186,52.0,1.627906976744186,51.0
1009,Mohammad Irfan,30,186.0,8.967105263157896,195.0,9.414473684210526,9.0
1010,Mohammad Kaif,41,69.0,2.487246566383257,183.0,4.867233485938522,114.0
1011,Mohammad Kashif,2,100.0,8.214285714285714,101.0,9.214285714285714,2.0
1012,Mohammad Mithun,30,75.0,2.637408568443051,165.0,4.736677115987461,90.0
1013,Mohammad Nabi,141,96.0,3.759830761572922,174.0,5.752115480338476,79.0
1014,Mohammad Nadeem,30,90.0,3.2250889679715304,173.0,5.422597864768683,83.0
1015,Mohammad Naim,7,0.0,0.0,45.0,2.018633540372671,44.0
1016,Mohammad Naveed,32,163.0,6.27810650887574,190.0,7.42603550295858,27.0
1017,Mohammad Nawaz,28,195.0,5.362105263157895,241.0,7.153684210526316,46.0
1018,Mohammad Rafique,35,126.0,5.1985559566787005,172.0,6.707581227436823,47.0
1019,Mohammad Rizwan,67,96.0,2.542422963275644,210.0,4.776276910088645,114.0
1020,Mohammad Saifuddin,19,156.0,6.099773242630386,231.0,7.446712018140589,75.0
1021,Mohammad Salman,3,121.0,6.0,145.0,8.5,24.0
1022,Mohammad Sami,13,172.0,7.716666666666667,209.0,8.738888888888889,37.0
1023,Mohammad Sanuth,2,127.0,4.121951219512195,207.0,6.682926829268292,80.0
1024,Mohammad Shahzad,89,8.0,0.3723436096976953,115.0,2.7838970368153246,107.0
1025,Mohammad Talha,1,236.0,8.0,236.0,8.0,0.0
1026,Mohammad Tauqir,7,144.0,6.481927710843373,168.0,7.710843373493976,24.0
1027,Mohammad Wasim,9,206.0,7.183908045977011,234.0,8.551724137931034,29.0
1028,Mohammad Yousuf,102,68.0,2.2266335814722913,188.0,4.663564929693962,120.0
1029,Mohammed Qasim,5,2.0,0.0,82.0,1.7076923076923076,81.0
1030,Mohammed Shami,48,209.0,7.565217391304348,228.0,8.68840579710145,19.0
1031,Mohammed Siraj,14,222.0,8.223300970873787,242.0,9.174757281553399,20.0
1032,Mohit Sharma,9,153.0,8.090909090909092,172.0,8.924242424242424,19.0
1033,Mohsin Mulla,1,46.0,6.0,63.0,7.0,17.0
1034,Moises Henriques,15,120.0,3.1614583333333335,142.0,4.177083333333333,23.0
1035,Mominul Haque,25,59.0,1.8013071895424837,125.0,3.588235294117647,66.0
1036,Monank Patel,47,31.0,1.2387267904509285,142.0,3.711936339522546,111.0
1037,Monde Zondeki,1,106.0,9.0,106.0,9.0,0.0
1038,Moneeb Iqbal,12,95.0,4.105691056910569,164.0,6.737127371273712,69.0
1039,Monty Panesar,7,134.0,8.23913043478261,152.0,9.402173913043478,18.0
1040,Morne Morkel,42,184.0,7.8708791208791204,211.0,9.06043956043956,27.0
1041,Morne van Wyk,15,17.0,0.5878489326765188,125.0,3.2725779967159276,108.0
1042,Morris Ouma,57,28.0,1.132905138339921,95.0,3.541501976284585,67.0
1043,Mosaddek Hossain,35,135.0,4.6986128625472885,187.0,6.411097099621689,51.0
1044,Mosharraf Hossain,5,192.0,6.924050632911392,205.0,8.08860759493671,13.0
1045,Mrittunjoy Chowdhury,1,261.0,6.0,274.0,10.0,13.0
1046,Mudassar Bukhari,30,98.0,4.391120507399577,144.0,6.38477801268499,46.0
1047,Muhammad Jawadullah,4,187.0,9.076923076923077,193.0,9.461538461538462,6.0
1048,Muhammad Musa,1,270.0,9.0,278.0,9.0,8.0
1049,Muhammad Usman,36,75.0,3.2523364485981308,166.0,5.64797507788162,91.0
1050,Muhammad Waseem,48,2.0,0.011691884456671253,84.0,2.3789546079779917,83.0
1051,Muhammad Zuhaib,3,145.0,6.0,178.0,7.780487804878049,33.0
1052,Mujeeb Ur Rahman,37,170.0,7.801498127340824,206.0,8.97003745318352,36.0
1053,Mukesh Kumar,2,189.0,9.0,199.0,9.411764705882353,10.0
1054,Munaf Patel,24,179.0,9.008771929824562,193.0,9.692982456140351,14.0
1055,Munir Dar,2,97.0,5.235294117647059,120.0,7.0,22.0
1056,Murali Kartik,5,182.0,7.720588235294118,219.0,8.264705882352942,36.0
1057,Murali Vijay,16,8.0,0.26744186046511625,83.0,1.6686046511627908,75.0
1058,Murray Commins,1,106.0,1.0,125.0,2.0,19.0
1059,Musa Ahmad,13,52.0,1.1925133689839573,113.0,2.7887700534759357,62.0
1060,Mushfiqur Rahim,248,72.0,2.7042701703962226,180.0,5.314925066721412,108.0
1061,Mustafizur Rahman,44,180.0,8.465408805031446,202.0,9.226415094339623,22.0
1062,Muthiah Muralidaran,50,177.0,8.127868852459017,195.0,8.954098360655738,18.0
1063,Muthumudalige Pushpakumara,1,67.0,5.0,82.0,5.0,15.0
1064,Nadeem Ahmed,15,157.0,8.315436241610739,170.0,9.51006711409396,14.0
1065,Naeem Islam,50,102.0,4.354070152217075,182.0,6.558570483123759,80.0
1066,Nafees Iqbal,7,1.0,0.0,88.0,2.6258992805755397,86.0
1067,Najaf Shah,1,181.0,9.0,181.0,10.0,0.0
1068,Najeeb Amar,2,101.0,6.380952380952381,127.0,8.0,26.0
1069,Najeeb Tarakai,1,6.0,0.0,25.0,2.0,19.0
1070,Najibullah Zadran,84,106.0,4.265271966527196,184.0,6.2418410041841,79.0
1071,Najmul Hossain Shanto,44,22.0,1.0471204188481675,150.0,3.7707969749854566,128.0
1072,Naman Ojha,1,1.0,0.0,7.0,1.0,6.0
1073,Nandre Burger,2,98.0,8.175,134.0,9.825,36.0
1074,Nangeyalia Kharote,1,206.0,6.0,219.0,8.0,13.0
1075,Narsingh Deonarine,29,67.0,2.7222222222222223,140.0,4.718253968253968,72.0
1076,Naseem Khushi,25,160.0,6.066852367688022,206.0,7.367688022284122,47.0
1077,Naseem Shah,4,182.0,8.0,211.0,9.170212765957446,29.0
1078,Nasir Aziz,3,85.0,6.28125,177.0,9.234375,92.0
1079,Nasir Hossain,52,110.0,4.331707317073171,196.0,6.56219512195122,86.0
