,bat,runs,balls,dismissals,avg,rpo
1203,Sreesanth,27,74,3.0,9.0,2.19
492,Ian Holland,27,30,2.0,13.5,5.4
1095,Salman Faris,27,46,1.0,27.0,3.52
176,Bilawal Bhatti,27,24,2.0,13.5,6.75
1020,Raymon Reifer,27,46,1.0,27.0,3.52
805,Michael van Lingen,27,37,1.0,27.0,4.38
939,Oshada Fernando,26,58,2.0,13.0,2.69
1338,Vernon Philander,26,52,5.0,5.2,3.0
103,Anrich Nortje,26,33,3.0,8.67,4.73
1385,Zain Abbas,26,54,,,2.89
1388,Zawar Farid,26,32,3.0,8.67,4.88
643,Keegan Meth,26,68,3.0,8.67,2.29
1366,Xavier Doherty,26,57,3.0,8.67,2.74
1072,Ryan Klein,26,31,2.0,13.0,5.03
178,Billy Stelling,26,33,,,4.73
996,Rahul Chopra,25,35,1.0,25.0,4.29
508,Irfan Ahmed,25,44,2.0,12.5,3.41
242,Chris Mpofu,25,92,7.0,3.57,1.63
1370,Yasir Ali,25,30,1.0,25.0,5.0
1339,Victor Nyauchi,25,36,3.0,8.33,4.17
789,Mehrab Hossain jnr,25,40,1.0,25.0,3.75
185,Boris Gorlee,25,39,2.0,12.5,3.85
1135,Shahadat Hossain,25,49,4.0,6.25,3.06
1116,Sayed Shirzad,25,16,,,9.38
330,Dhawal Kulkarni,25,26,,,5.77
12,Abdul Shakoor,25,46,2.0,12.5,3.26
513,Ishan Kishan,25,57,2.0,12.5,2.63
85,Andre Nel,25,40,3.0,8.33,3.75
1109,Saqib Ali,25,52,2.0,12.5,2.88
317,Deighton Butler,25,34,1.0,25.0,4.41
1305,Tom de Grooth,25,56,5.0,5.0,2.68
511,Irving Romaine,25,43,5.0,5.0,3.49
712,Liam Dawson,24,30,2.0,12.0,4.8
1367,Xavier Marshall,24,66,7.0,3.43,2.18
1027,Reinhardt Strydom,24,43,1.0,24.0,3.35
217,Chadwick Walton,24,44,4.0,6.0,3.27
530,Jake Ball,24,21,1.0,24.0,6.86
936,Odean Smith,24,20,1.0,24.0,7.2
17,Abhishek Paradkar,24,31,1.0,24.0,4.65
537,James Marshall,24,49,4.0,6.0,2.94
421,Gerald Coetzee,23,26,2.0,11.5,5.31
489,Ian Blackwell,23,38,2.0,11.5,3.63
1030,Ricardo Powell,23,26,1.0,23.0,5.31
383,Fareed Ahmad,23,49,2.0,11.5,2.82
1120,Scott McKechnie,23,49,2.0,11.5,2.82
282,Dan Christian,23,19,1.0,23.0,7.26
720,Lo-handre Louwrens,23,35,1.0,23.0,3.94
232,Chaturanga de Silva,23,26,2.0,11.5,5.31
637,Karun Jethi,22,20,1.0,22.0,6.6
1115,Saurabh Tiwary,22,32,,,4.12
126,Ashish Nehra,22,58,8.0,2.75,2.28
434,Graham Hume,22,41,1.0,22.0,3.22
1307,Tony Munyonga,22,30,1.0,22.0,4.4
570,Jeff Wilson,22,27,1.0,22.0,4.89
1004,Ramesh Powar,22,33,3.0,7.33,4.0
874,Nadeem Ahmed,22,52,4.0,5.5,2.54
1311,Travis Dowlin,22,48,3.0,7.33,2.75
1248,Tafadzwa Kamungozi,22,39,3.0,7.33,3.38
166,Benjamin Ward,22,36,2.0,11.0,3.67
179,Binod Bhandari,22,49,2.0,11.0,2.69
391,Fidel Edwards,22,57,3.0,7.33,2.32
884,Nasir Aziz,22,39,2.0,11.0,3.38
600,Jon Lewis,22,23,2.0,11.0,5.74
763,Mark Vermeulen,22,30,2.0,11.0,4.4
662,Khary Pierre,21,18,1.0,21.0,7.0
896,Natsai M'shangwe,21,26,2.0,10.5,4.85
46,Ajmal Shahzad,21,36,3.0,7.0,3.5
1063,Rumman Raees,21,20,2.0,10.5,6.3
101,Anil Kumble,21,28,4.0,5.25,4.5
723,Lonwabo Tsotsobe,21,41,5.0,4.2,3.07
620,Kabir Ali,21,22,3.0,7.0,5.73
1158,Shannon Gabriel,21,49,3.0,7.0,2.57
1256,Tangeni Lungameni,21,37,1.0,21.0,3.41
419,George Worker,21,24,1.0,21.0,5.25
313,Dean Brownlie,20,28,1.0,20.0,4.29
1352,Waheed Ahmed,20,23,1.0,20.0,5.22
1159,Shapoor Zadran,20,52,4.0,5.0,2.31
1179,Shoaib Akhtar,20,38,7.0,2.86,3.16
183,Blessing Muzarabani,20,39,6.0,3.33,3.08
157,Ben Cooper,20,29,1.0,20.0,4.14
866,Munaf Patel,20,36,3.0,6.67,3.33
195,Brandon Mavuta,20,16,1.0,20.0,7.5
853,Monty Panesar,19,36,2.0,9.5,3.17
674,Kirk Edwards,19,35,1.0,19.0,3.26
994,Rahmanullah Gurbaz,19,61,5.0,3.8,1.87
1068,Ruturaj Gaikwad,19,42,1.0,19.0,2.71
685,Kushal Malla,19,27,4.0,4.75,4.22
677,Kosala Kulasekara,19,46,1.0,19.0,2.48
351,Dougie Brown,19,37,1.0,19.0,3.08
847,Mohit Sharma,19,36,3.0,6.33,3.17
1315,Trevin Bastiampillai,19,58,3.0,6.33,1.97
253,Clive Madande,19,23,2.0,9.5,4.96
540,James Ngoche,19,41,1.0,19.0,2.78
371,Elmore Hutchinson,19,18,2.0,9.5,6.33
170,Beuran Hendricks,19,31,2.0,9.5,3.68
935,Nuwanidu Fernando,19,27,1.0,19.0,4.22
213,Carl Mumba,18,21,2.0,9.0,5.14
1356,Washington Sundar,18,30,1.0,18.0,3.6
1371,Yasir Hameed,18,25,1.0,18.0,4.32
1306,Tomas Mackintosh,18,26,1.0,18.0,4.15
66,Alishan Sharafu,18,30,2.0,9.0,3.6
625,Kamal Airee,18,15,,,7.2
1111,Saqlain Haider,18,20,2.0,9.0,5.4
412,Gavin Main,18,28,1.0,18.0,3.86
867,Munir Dar,18,16,2.0,9.0,6.75
586,Jofra Archer,18,38,4.0,4.5,2.84
230,Charles Perchard,18,27,1.0,18.0,4.0
321,Dev Khanal,18,19,1.0,18.0,5.68
306,David Murphy,18,58,2.0,9.0,1.86
160,Ben Hilfenhaus,17,20,1.0,17.0,5.1
664,Khaya Zondo,17,38,1.0,17.0,2.68
408,Gaudi Toka,17,46,4.0,4.25,2.22
672,Kinchit Shah,17,15,1.0,17.0,6.8
737,Mahedi Hasan,17,41,3.0,5.67,2.49
573,Jeremy Bray,17,23,1.0,17.0,4.43
1321,Umar Amin,17,32,2.0,8.5,3.19
703,Lalit Rajbanshi,17,38,2.0,8.5,2.68
198,Brendon Diamanti,17,13,,,7.85
299,Daryn Dupavillon,17,10,1.0,17.0,10.2
579,Jhye Richardson,17,31,2.0,8.5,3.29
249,Christopher McBride,17,26,1.0,17.0,3.92
1220,Stuart Clark,17,28,,,3.64
21,Adam Gilchrist,16,20,2.0,8.0,4.8
1252,Tama Canning,16,27,1.0,16.0,3.56
1343,Vikrant Shetty,16,29,2.0,8.0,3.31
1022,Reece Topley,16,8,,,12.0
30,Adrian Neill,16,23,,,4.17
502,Imran Haider,16,35,4.0,4.0,2.74
1123,Sean Terry,16,17,1.0,16.0,5.65
520,Jack Vare,16,25,4.0,4.0,3.84
1058,Roy Lamsam,16,30,1.0,16.0,3.2
1021,Raza-ur-Rehman,16,19,1.0,16.0,5.05
196,Brendan Nash,16,29,2.0,8.0,3.31
868,Murali Kartik,16,10,1.0,16.0,9.6
1393,Zulfiqar Babar,16,18,1.0,16.0,5.33
969,Philippe Boissevain,16,34,4.0,4.0,2.82
738,Maheesh Theekshana,16,26,,,3.69
209,Calvert Hooper,16,12,,,8.0
191,Brad Wheal,16,26,2.0,8.0,3.69
591,John Campbell,15,9,1.0,15.0,10.0
1318,Tyson Gordon,15,36,3.0,5.0,2.5
1067,Rusty Theron,15,20,3.0,5.0,4.5
522,Jacob Mulder,15,11,,,8.18
358,Dwayne Leverock,15,61,4.0,3.75,1.48
110,Arafat Sunny,15,45,1.0,15.0,2.0
250,Clay Smith,15,17,2.0,7.5,5.29
779,Matthew Kuhnemann,15,11,,,8.18
744,Mal Loye,15,17,1.0,15.0,5.29
1126,Semo Kamea,15,46,4.0,3.75,1.96
1040,Rob Nicol,15,28,2.0,7.5,3.21
493,Ian Nicolson,15,22,2.0,7.5,4.09
235,Chris Douglas,15,26,1.0,15.0,3.46
1247,Tadiwanashe Marumani,15,28,1.0,15.0,3.21
92,Andrew Tye,15,11,1.0,15.0,8.18
819,Mohammad Aadil Alam,14,23,2.0,7.0,3.65
261,Con de Lange,14,30,1.0,14.0,2.8
1217,Stuart Binny,14,20,2.0,7.0,4.2
205,Brydon Carse,14,8,1.0,14.0,10.5
1029,Riaz Hassan,14,32,2.0,7.0,2.62
1075,Ryan Rickelton,14,16,1.0,14.0,5.25
675,Kithuruwan Vithanage,14,13,1.0,14.0,6.46
369,Elijah Otieno,14,42,2.0,7.0,2.0
25,Adeel Raja,14,25,1.0,14.0,3.36
1230,Sundeep Jora,14,15,,,5.6
940,Oshane Thomas,14,36,5.0,2.8,2.33
1149,Shaminda Eranga,14,23,,,3.65
472,Hazratullah Zazai,14,12,1.0,14.0,7.0
34,Aftab Alam,14,13,2.0,7.0,6.46
1198,Sohrawordi Shuvo,14,26,1.0,14.0,3.23
2,Aamir Kaleem,13,16,1.0,13.0,4.88
1261,Tanzid Hasan,13,19,2.0,6.5,4.11
551,Janeiro Tucker,13,50,4.0,3.25,1.56
1093,Saleem Mukuddem,13,18,2.0,6.5,4.33
436,Grant Flower,13,24,1.0,13.0,3.25
947,Patrick Browne,13,24,2.0,6.5,3.25
266,Craig Cumming,13,24,1.0,13.0,3.25
1044,Rodney Trott,13,20,1.0,13.0,3.9
609,Josh Lawrenson,13,27,1.0,13.0,2.89
1319,Umair Ali,13,27,2.0,6.5,2.89
699,Lahiru Madushanka,13,18,2.0,6.5,4.33
1380,Zaheer Maqsood,13,46,,,1.7
39,Ahsan Malik,13,23,,,3.39
942,Pargat Singh,13,18,1.0,13.0,4.33
628,Kamran Shazad,13,18,2.0,6.5,4.33
860,Muhammad Jawadullah,13,6,1.0,13.0,13.0
336,Dilshan Madushanka,13,10,1.0,13.0,7.8
309,David Wiese,13,20,3.0,4.33,3.9
165,Ben Wheeler,13,11,,,7.09
1019,Rayad Emrit,13,33,1.0,13.0,2.36
974,Piyush Chawla,13,28,4.0,3.25,2.79
453,Hamza Tahir,13,26,2.0,6.5,3.0
1000,Rajesh Bhudia,13,16,2.0,6.5,4.88
894,Nathan Lyon,13,15,1.0,13.0,5.2
26,Adeel Shafique,13,33,1.0,13.0,2.36
910,Nelson Odhiambo,13,13,1.0,13.0,6.0
777,Matthew Forde,12,22,1.0,12.0,3.27
1196,Sohail Khan,12,27,3.0,4.0,2.67
280,Damien Martyn,12,27,2.0,6.0,2.67
1328,Usman Ghani,12,19,1.0,12.0,3.79
668,Khurram Nawaz,12,22,1.0,12.0,3.27
1052,Ronsford Beaton,12,25,,,2.88
154,Basant Regmi,12,25,1.0,12.0,2.88
966,Peter Siddle,12,10,1.0,12.0,7.2
42,Aizaz Khan,12,18,3.0,4.0,4.0
1114,Saurabh Netravalkar,12,26,7.0,1.71,2.77
730,Luke Woodcock,11,19,1.0,11.0,3.47
541,James Pattinson,11,26,2.0,5.5,2.54
1244,Syed Saad Ali,11,23,2.0,5.5,2.87
462,Harry Gurney,11,17,,,3.88
122,Ashen Bandara,11,45,2.0,5.5,1.47
555,Jason Behrendorff,11,6,,,11.0
950,Paul Mooney,11,7,,,9.43
132,Ashwanth Valthapa,11,16,1.0,11.0,4.12
1297,Tobias Visee,11,10,,,6.6
976,Pragyan Ojha,11,30,1.0,11.0,2.2
418,George O'Brien,11,6,1.0,11.0,11.0
1383,Zahid Shah,11,20,,,3.3
337,Dilshan Munaweera,11,24,1.0,11.0,2.75
1168,Shaun Tait,11,10,1.0,11.0,6.6
346,Dom Joyce,11,21,1.0,11.0,3.14
349,Doug Bollinger,11,16,2.0,5.5,4.12
608,Josh Inglis,11,17,3.0,3.67,3.88
290,Danza Hyatt,11,17,1.0,11.0,3.88
527,Jade Dernbach,11,23,4.0,2.75,2.87
790,Mervyn Dillon,11,17,2.0,5.5,3.88
524,Jacobi Robinson,10,17,1.0,10.0,3.53
428,Glenn Rogers,10,22,1.0,10.0,2.73
161,Ben Lister,10,14,1.0,10.0,4.29
1295,Tino Mawoyo,10,24,2.0,5.0,2.5
32,Afsar Zazai,10,40,1.0,10.0,1.5
992,Ragheb Aga,10,14,1.0,10.0,4.29
1246,Tabraiz Shamsi,10,21,3.0,3.33,2.86
1053,Rory Kleinveldt,10,11,3.0,3.33,5.45
200,Brett Geeves,10,11,,,5.45
809,Milton Shumba,10,19,2.0,5.0,3.16
1059,Ruaidhri Smith,10,6,1.0,10.0,10.0
326,Dewald Nel,10,21,,,2.86
724,Loots Bosman,10,21,1.0,10.0,2.86
807,Miguel Cummins,10,27,2.0,5.0,2.22
399,Friday Kasteni,9,23,1.0,9.0,2.35
832,Mohammad Naim,9,21,1.0,9.0,2.57
1298,Todd Astle,9,11,1.0,9.0,4.91
1038,Rishi Dhawan,9,8,1.0,9.0,6.75
782,Matthew Short,9,8,1.0,9.0,6.75
139,Avesh Khan,9,17,2.0,4.5,3.18
192,Bradley Kruger,9,17,1.0,9.0,3.18
79,Anderson Cummins,9,8,,,6.75
1294,Tino Best,9,32,3.0,3.0,1.69
1381,Zahid Hussain,9,31,1.0,9.0,1.74
246,Chris Tremlett,9,25,2.0,4.5,2.16
1174,Sherfane Rutherford,9,8,2.0,4.5,6.75
287,Danish Aziz,9,14,1.0,9.0,3.86
367,Ehsan Nawaz,9,19,1.0,9.0,2.84
582,Joe Burns,9,18,1.0,9.0,3.0
934,Nuwan Zoysa,9,14,1.0,9.0,3.86
900,Naveen-ul-Haq,8,13,1.0,8.0,3.69
263,Corey Collymore,8,18,,,2.67
1359,Wellington Masakadza,8,33,5.0,1.6,1.45
